gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
895007020																										SANT:SANT-Algae:17240-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:17240-A	17240		J. Grall																													2004-11-01				2004	11	1		Dragado en fondo de maërl															FR				Francia: Bretaña Francesa, Rade de Brest, Camaretnnaat	Francia: Bretaña Francesa, Rade de Brest, Camaretnnaat																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007019																										SANT:SANT-Algae:22023-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22023-A	22023		V. Peña & I. Bárbara																													2005-06-17				2005	6	17		Submareal (-13m) sobre maërl y cascajo															ES	PO			Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa	Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007017																										SANT:SANT-Algae:28350-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:28350-A	28350		I. Bárbara & V. Peña																													2007-06-12				2007	6	12		Submareal (11 m) en fondo de maërl y cascajo															ES	C			A Coruña: Ría de Muros y Noia, Ensenada Bornalle	A Coruña: Ría de Muros y Noia, Ensenada Bornalle																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007016																										SANT:SANT-Algae:22380-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22380-A	22380		V. Peña & I. Bárbara																													2006-06-01				2006	6	1		Submareal (-8m) en fondo de maërl y cascajo															ES	C			A Coruña: Ría de Muros y Noia, Ensenada Bornalle	A Coruña: Ría de Muros y Noia, Ensenada Bornalle																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007014																										SANT:SANT-Algae:22090-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22090-A	22090		V. Peña & I. Bárbara																													2005-06-17				2005	6	17		Submareal (-6m) sobre maërl y cascajo															ES	C			A Coruña: Siñal del Maño, Ría de Arousa	A Coruña: Siñal del Maño, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007013																										SANT:SANT-Algae:28550-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:28550-A	28550		J. Souto																													2013-05-22				2013	5	22		Submareal (10 m) en fondo de roca y cascajo. Sobre cascajo															ES	C			A Coruña: Ría de Ferrol, Rabo da Porca, Pta. San Carlos, Ferrol	A Coruña: Ría de Ferrol, Rabo da Porca, Pta. San Carlos, Ferrol																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007011																										SANT:SANT-Algae:22161-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22161-A	22161		V. Peña & I. Bárbara																													2004-04-28				2004	4	28		Submareal (-13 m) sobre maërl y cascajo															ES	C			A Coruña: Ensenada de Ribeira, Ría de Arousa	A Coruña: Ensenada de Ribeira, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007009																										SANT:SANT-Algae:28038-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:28038-A	28038		I. Bárbara																													2013-05-23				2013	5	23		Intermareal inferior, junto a Zostera marina															ES	C			A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol	A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007008																										SANT:SANT-Algae:27412-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:27412-A	27412		I. Bárbara																													2012-04-23				2012	4	23		Sobre el fango, junto a Gracilaria vermiculophylla															ES	C			A Coruña: Fonteculler, Culleredo, Ría de A Coruña	A Coruña: Fonteculler, Culleredo, Ría de A Coruña																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007007																										SANT:SANT-Algae:22129-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22129-A	22129		V. Peña & I. Bárbara																													2004-04-28				2004	4	28		Submareal (-7 m) sobre maërl y cascajo															ES	C			A Coruña: Punta Aguiuncho, Ribeira, Ría de Arousa	A Coruña: Punta Aguiuncho, Ribeira, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
