variable,x,y
e09.SST.min,-5.04559371471405,0.03990813344717026
e09.SST.min,-4.970199712371826,0.03990813344717026
e09.SST.min,-4.894805710029602,0.03990813344717026
e09.SST.min,-4.819411707687378,0.03990813344717026
e09.SST.min,-4.744017705345153,0.03990813344717026
e09.SST.min,-4.668623703002929,0.03990813344717026
e09.SST.min,-4.5932297006607055,0.03990813344717026
e09.SST.min,-4.517835698318481,0.03990813344717026
e09.SST.min,-4.442441695976257,0.03990813344717026
e09.SST.min,-4.367047693634033,0.03990813344717026
e09.SST.min,-4.291653691291809,0.03990813344717026
e09.SST.min,-4.2162596889495845,0.03990813344717026
e09.SST.min,-4.14086568660736,0.03990813344717026
e09.SST.min,-4.065471684265137,0.03990813344717026
e09.SST.min,-3.9900776819229122,0.03990813344717026
e09.SST.min,-3.914683679580688,0.03990813344717026
e09.SST.min,-3.839289677238464,0.03990813344717026
e09.SST.min,-3.76389567489624,0.03990813344717026
e09.SST.min,-3.6885016725540156,0.03990813344717026
e09.SST.min,-3.6131076702117912,0.03990813344717026
e09.SST.min,-3.5377136678695678,0.03990813344717026
e09.SST.min,-3.4623196655273434,0.03990813344717026
e09.SST.min,-3.386925663185119,0.03990813344717026
e09.SST.min,-3.311531660842895,0.03990813344717026
e09.SST.min,-3.236137658500671,0.03990813344717026
e09.SST.min,-3.1607436561584468,0.03990813344717026
e09.SST.min,-3.0853496538162224,0.03990813344717026
e09.SST.min,-3.0099556514739985,0.03990813344717026
e09.SST.min,-2.934561649131774,0.03990813344717026
e09.SST.min,-2.85916764678955,0.03990813344717026
e09.SST.min,-2.7837736444473262,0.03990813344717026
e09.SST.min,-2.7083796421051023,0.03990813344717026
e09.SST.min,-2.632985639762878,0.03990813344717026
e09.SST.min,-2.5575916374206535,0.03990813344717026
e09.SST.min,-2.4821976350784296,0.03990813344717026
e09.SST.min,-2.4068036327362057,0.03990813344717026
e09.SST.min,-2.3314096303939813,0.03990813344717026
e09.SST.min,-2.2560156280517574,0.03990813344717026
e09.SST.min,-2.180621625709533,0.03990813344717026
e09.SST.min,-2.105227623367309,0.03990813344717026
e09.SST.min,-2.029833621025085,0.03990813344717026
e09.SST.min,-1.9544396186828608,0.03990813344717026
e09.SST.min,-1.8790456163406368,0.040570393204689026
e09.SST.min,-1.8036516139984125,0.04261283203959465
e09.SST.min,-1.728257611656188,0.0447406992316246
e09.SST.min,-1.6528636093139641,0.04695649445056915
e09.SST.min,-1.5774696069717402,0.049262721091508865
e09.SST.min,-1.5020756046295163,0.051661886274814606
e09.SST.min,-1.426681602287292,0.05415649339556694
e09.SST.min,-1.3512875999450675,0.05674903839826584
e09.SST.min,-1.2758935976028436,0.05944200977683067
e09.SST.min,-1.2004995952606197,0.06223786622285843
e09.SST.min,-1.1251055929183953,0.0651390478014946
e09.SST.min,-1.0497115905761714,0.06814796477556229
e09.SST.min,-0.974317588233947,0.07126697897911072
e09.SST.min,-0.8989235858917235,0.07449841499328613
e09.SST.min,-0.8235295835494982,0.0778445452451706
e09.SST.min,-0.7481355812072747,0.08130757510662079
e09.SST.min,-0.6727415788650504,0.08488965779542923
e09.SST.min,-0.597347576522826,0.08859285712242126
e09.SST.min,-0.5219535741806025,0.09241915494203568
e09.SST.min,-0.44655957183837813,0.09637044370174408
e09.SST.min,-0.37116556949615465,0.10044852644205093
e09.SST.min,-0.2957715671539294,0.10465507954359055
e09.SST.min,-0.2203775648117059,0.10899168252944946
e09.SST.min,-0.1449835624694824,0.11345978081226349
e09.SST.min,-0.06958956012725714,0.11806068569421768
e09.SST.min,0.005804442214966343,0.12279556691646576
e09.SST.min,0.08119844455719072,0.1276654601097107
e09.SST.min,0.1565924468994151,0.13267120718955994
e09.SST.min,0.23198644924163858,0.1378135234117508
e09.SST.min,0.30738045158386296,0.14309293031692505
e09.SST.min,0.38277445392608733,0.14850977063179016
e09.SST.min,0.4581684562683117,0.15406420826911926
e09.SST.min,0.5335624586105352,0.15975618362426758
e09.SST.min,0.6089564609527596,0.1655854731798172
e09.SST.min,0.684350463294984,0.17155160009860992
e09.SST.min,0.7597444656372074,0.17765392363071442
e09.SST.min,0.8351384679794318,0.18389153480529785
e09.SST.min,0.9105324703216562,0.19026333093643188
e09.SST.min,0.9859264726638797,0.19676795601844788
e09.SST.min,1.061320475006104,0.20340386033058167
