Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,e09.SST.min contribution,e09.SST.min permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Caulerpa_taxifolia_0,682,0.5977,0.6894,180,0.8133,171,0.6859,0.8112,0.012,10668,100,100,8.6773,0.3375,1,0.1583,0.6356,0.0132,0.0117,4.73E-22,5,0.2622,0.5427,0.0352,0.0292,1.34E-29,10,0.3456,0.4666,0.0674,0.0409,2.04E-38,0.2296,0.0733,0.6694,0,0,1.96E-20,14.5554,0.4138,0.4144,0.0968,0.0877,3.55E-40,30.9143,0.5629,0.2792,0.2801,0.3216,1.39E-31,21.8729,0.4799,0.347,0.1554,0.1579,1.99E-42,29.6507,0.5524,0.2878,0.2683,0.2807,5.85E-36,14.2833,0.4109,0.4172,0.0953,0.0819,1.44E-40,0.2296,0.0733,0.6694,0,0,1.96E-20,4.6016,0.2527,0.5501,0.0337,0.0234,1.78E-29
Caulerpa_taxifolia_1,682,0.5952,0.6863,180,0.8111,171,0.6998,0.8214,0.0124,10670,100,100,8.68,0.3384,1,0.159,0.6363,0.0103,0.0234,1.11E-20,5,0.2638,0.5439,0.0308,0.0468,3.05E-27,10,0.3472,0.468,0.0601,0.0702,5.16E-34,0.2348,0.0748,0.6694,0,0,1.99E-20,14.9011,0.4184,0.4124,0.0997,0.0936,1.19E-39,30.3014,0.5566,0.2844,0.2845,0.2573,1.46E-40,22.1029,0.4818,0.3463,0.1628,0.1287,1.66E-47,31.7514,0.5717,0.2748,0.2962,0.2749,4.85E-40,22.2261,0.483,0.3453,0.1701,0.1287,9.51E-48,0.2348,0.0748,0.6694,0,0,1.99E-20,4.5946,0.2542,0.5514,0.0279,0.0468,2.15E-26
Caulerpa_taxifolia_2,682,0.6151,0.709,180,0.8172,171,0.6045,0.7832,0.0122,10666,100,100,8.6597,0.3309,1,0.1445,0.6357,0.0147,0.0058,1.01E-22,5,0.2497,0.5372,0.0367,0.0409,9.45E-29,10,0.3402,0.4591,0.0645,0.0877,6.56E-33,0.2446,0.0758,0.6689,0,0,1.77E-20,14.8911,0.408,0.4031,0.0982,0.152,9.48E-33,31.2666,0.5689,0.2688,0.2698,0.3158,8.09E-35,16.2596,0.4223,0.3893,0.1056,0.152,4.45E-35,25.9716,0.5133,0.3056,0.2537,0.3041,7.72E-29,16.9924,0.4306,0.3821,0.1173,0.152,2.29E-36,0.2446,0.0758,0.6689,0,0,1.77E-20,4.8246,0.2461,0.5406,0.0367,0.0409,2.37E-28
Caulerpa_taxifolia_3,683,0.5947,0.6857,180,0.8122,170,0.6999,0.8164,0.0121,10671,100,100,8.6806,0.3386,1,0.1588,0.6362,0.0117,0.0176,3.26E-21,5,0.2638,0.5439,0.0351,0.0294,2.87E-29,10,0.3479,0.4682,0.063,0.0588,2.17E-35,0.2335,0.0744,0.6695,0,0,2.56E-20,14.5646,0.415,0.4159,0.0996,0.0765,2.05E-41,30.5664,0.5588,0.283,0.2826,0.2647,1.85E-39,22.1047,0.4827,0.3465,0.1552,0.1588,3.83E-42,31.5511,0.5682,0.2765,0.2943,0.2765,3.94E-39,14.5646,0.415,0.4159,0.0996,0.0765,2.05E-41,0.2335,0.0744,0.6695,0,0,2.56E-20,4.5804,0.2545,0.5517,0.0322,0.0294,2.32E-28
Caulerpa_taxifolia_4,683,0.5853,0.6731,180,0.8087,170,0.7396,0.8294,0.012,10669,100,100,8.6898,0.342,1,0.1624,0.6398,0.0146,0.0059,3.19E-22,5,0.2657,0.5485,0.0322,0.0294,9.94E-29,10,0.3505,0.473,0.063,0.0529,1.65E-35,0.2842,0.086,0.6689,0,0,2.32E-20,15.0963,0.4231,0.415,0.0996,0.0941,7.09E-39,31.6057,0.569,0.2797,0.2796,0.2412,2.45E-44,22.1673,0.4849,0.3504,0.1581,0.1412,3.35E-44,33.9412,0.5904,0.2647,0.3045,0.2647,2.82E-44,19.5052,0.4662,0.3732,0.142,0.1118,4.00E-44,0.2842,0.086,0.6689,0,0,2.32E-20,4.5437,0.2561,0.5569,0.0307,0.0294,9.21E-28
Caulerpa_taxifolia (average),682.4,0.5976,0.6887,180,0.8125,170.6,0.6859,0.8123,0.0121,10668.8,100,100,8.6775,0.3375,1,0.1566,0.6367,0.0129,0.0129,0,5,0.261,0.5432,0.034,0.0351,0,10,0.3463,0.467,0.0636,0.0621,0,0.2453,0.0769,0.6692,0,0,0,14.8017,0.4157,0.4122,0.0988,0.1008,0,30.9309,0.5632,0.279,0.2793,0.2801,0,20.9015,0.4703,0.3559,0.1474,0.1477,0,30.5732,0.5592,0.2819,0.2834,0.2802,0,17.5143,0.4411,0.3867,0.1249,0.1102,0,0.2453,0.0769,0.6692,0,0,0,4.629,0.2527,0.5501,0.0322,0.034,0
