gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
895007057	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18102-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	Pontevedra: Al Este de Isla de San Martín, Islas Cíes, Ría de Vigo	Po			def87a70-0837-11d9-acb2-b8a03c50a862									2006-06-07T00:00:00Z	7	6	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18102				CC_BY_NC_4_0		V. Peña, I. Bárbara & P. Díaz			2019-09-20T20:03:47.868Z		
895007056	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:17249-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		NO	Noruega: Skarsundet				def87a70-0837-11d9-acb2-b8a03c50a862									2004-06-30T00:00:00Z	30	6	2004	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	17249				CC_BY_NC_4_0		V. Peña & V. Husa			2019-09-20T20:03:47.855Z		
895007055	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18551-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	A Coruña: Al NE Isla Sálvora, Ribeira, Ría de Arousa	C			def87a70-0837-11d9-acb2-b8a03c50a862									2005-06-22T00:00:00Z	22	6	2005	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18551				CC_BY_NC_4_0		V. Peña, I. Bárbara, P. Díaz & M. Tibaldo			2019-09-20T20:03:47.777Z		
895007054	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18084-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	Pontevedra: Al sur del Faro del Príncipe, Islas Cíes, Ría de Vigo	Po			def87a70-0837-11d9-acb2-b8a03c50a862									2006-06-07T00:00:00Z	7	6	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18084				CC_BY_NC_4_0		V. Peña, I. Bárbara & P. Díaz			2019-09-20T20:03:39.395Z		
895007053	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18587-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	A Coruña: Nordeste de Isla Vionta, Ribeira, Ría de Arousa	C			def87a70-0837-11d9-acb2-b8a03c50a862									2005-06-22T00:00:00Z	22	6	2005	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18587				CC_BY_NC_4_0		V. Peña, I. Bárbara, P. Díaz & M. Tibaldo			2019-09-20T20:03:39.387Z		
895007052	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18225-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	A Coruña: Ría de Muros y Noia, Ensenada Bornalle	C			def87a70-0837-11d9-acb2-b8a03c50a862									2006-06-01T00:00:00Z	1	6	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18225				CC_BY_NC_4_0		V. Peña, I. Bárbara & P. Díaz			2019-09-20T20:03:39.366Z		
895007051	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:19281-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	A Coruña: Punta de San Martín Oeste, Mugardos, Ría de Ferrol	C			def87a70-0837-11d9-acb2-b8a03c50a862									2006-09-05T00:00:00Z	5	9	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	19281				CC_BY_NC_4_0		I. Bárbara & V. Peña			2019-09-20T20:03:39.362Z		
895007050	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:17216-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	A Coruña: Isla Benencia, Boiro, Ría de Arousa	C			def87a70-0837-11d9-acb2-b8a03c50a862									2006-03-15T00:00:00Z	15	3	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	17216				CC_BY_NC_4_0		I. Bárbara & V. Peña			2019-09-20T20:03:39.354Z		
895007049	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:18200-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		ES	Pontevedra: Al nordeste de la Isla de Ons, Bueu, Ría de Pontevedra	Po			def87a70-0837-11d9-acb2-b8a03c50a862									2006-06-05T00:00:00Z	5	6	2006	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	18200				CC_BY_NC_4_0		V. Peña, I. Bárbara & P. Díaz			2019-09-20T20:03:39.346Z		
895007048	17a729a0-7ed1-11df-8c4a-0800200c9a66	SANT:SANT-Algae:17237-A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo		FR	Francia: Bretaña Francesa, Rade de Brest, Logonnaat				def87a70-0837-11d9-acb2-b8a03c50a862									2005-04-11T00:00:00Z	11	4	2005	2659055	7682935	PRESERVED_SPECIMEN	SANT	SANT-Algae	17237				CC_BY_NC_4_0		J. Grall			2019-09-20T20:03:39.343Z		
