Predictor variable,Categorical,Sample average
e03.NIT.max,false,0.31014894348751304
e04.NIT.min,false,0.02439383171079447
e05.PHO.max,false,0.2335954352862499
e06.PHO.min,false,0.17861580780278696
e07.SAL.me,false,34.86489934145018
e08.SST.max,false,28.12137573264366
e09.SST.min,false,23.542298375174056
