variable,x,y
e08.SST.max,-4.778500771522522,5.969762462143535E-9
e08.SST.max,-4.693658017730712,5.969762462143535E-9
e08.SST.max,-4.6088152639389035,5.969762462143535E-9
e08.SST.max,-4.523972510147094,5.969762462143535E-9
e08.SST.max,-4.439129756355285,5.969762462143535E-9
e08.SST.max,-4.354287002563476,5.969762462143535E-9
e08.SST.max,-4.269444248771667,5.969762462143535E-9
e08.SST.max,-4.184601494979858,5.969762462143535E-9
e08.SST.max,-4.099758741188049,5.969762462143535E-9
e08.SST.max,-4.01491598739624,5.969762462143535E-9
e08.SST.max,-3.930073233604431,5.969762462143535E-9
e08.SST.max,-3.8452304798126216,5.969762462143535E-9
e08.SST.max,-3.7603877260208125,5.969762462143535E-9
e08.SST.max,-3.6755449722290034,5.969762462143535E-9
e08.SST.max,-3.5907022184371944,5.969762462143535E-9
e08.SST.max,-3.5058594646453853,5.969762462143535E-9
e08.SST.max,-3.4210167108535763,5.969762462143535E-9
e08.SST.max,-3.3361739570617672,5.969762462143535E-9
e08.SST.max,-3.251331203269958,5.969762462143535E-9
e08.SST.max,-3.166488449478149,5.969762462143535E-9
e08.SST.max,-3.08164569568634,5.969762462143535E-9
e08.SST.max,-2.996802941894531,5.969762462143535E-9
e08.SST.max,-2.9119601881027215,5.969762462143535E-9
e08.SST.max,-2.827117434310913,5.969762462143535E-9
e08.SST.max,-2.7422746805191034,5.969762462143535E-9
e08.SST.max,-2.657431926727295,5.969762462143535E-9
e08.SST.max,-2.5725891729354853,5.969762462143535E-9
e08.SST.max,-2.4877464191436762,5.969762462143535E-9
e08.SST.max,-2.402903665351867,5.969762462143535E-9
e08.SST.max,-2.3180609115600577,5.969762462143535E-9
e08.SST.max,-2.233218157768249,5.969762462143535E-9
e08.SST.max,-2.14837540397644,5.969762462143535E-9
e08.SST.max,-2.063532650184631,5.969762462143535E-9
e08.SST.max,-1.9786898963928214,5.969762462143535E-9
e08.SST.max,-1.8938471426010124,5.969762462143535E-9
e08.SST.max,-1.8090043888092038,5.969762462143535E-9
e08.SST.max,-1.7241616350173947,5.969762462143535E-9
e08.SST.max,-1.6393188812255852,5.969762462143535E-9
e08.SST.max,-1.5544761274337762,5.969762462143535E-9
e08.SST.max,-1.4696333736419671,5.969762462143535E-9
e08.SST.max,-1.3847906198501585,5.969762462143535E-9
e08.SST.max,-1.299947866058349,5.969762462143535E-9
e08.SST.max,-1.21510511226654,6.259579077294575E-9
e08.SST.max,-1.1302623584747309,7.213762032165505E-9
e08.SST.max,-1.0454196046829218,8.309168464393224E-9
e08.SST.max,-0.9605768508911123,9.566042180608747E-9
e08.SST.max,-0.8757340970993037,1.1007430522624873E-8
e08.SST.max,-0.7908913433074947,1.2659560510996926E-8
e08.SST.max,-0.7060485895156852,1.4552255400701597E-8
e08.SST.max,-0.6212058357238766,1.6719411632948322E-8
e08.SST.max,-0.5363630819320679,1.9199530854052682E-8
e08.SST.max,-0.45152032814025755,2.2036328317653897E-8
e08.SST.max,-0.36667757434844894,2.527940523577854E-8
e08.SST.max,-0.28183482055663944,2.898500994774622E-8
e08.SST.max,-0.19699206676483083,3.3216895900523014E-8
e08.SST.max,-0.11214931297302222,3.8047279105057896E-8
e08.SST.max,-0.02730655918121272,4.355005245315624E-8
e08.SST.max,0.05753619461059589,4.9836852866746995E-8
e08.SST.max,0.14237894840240628,5.700215410797682E-8
e08.SST.max,0.2272217021942149,6.515860206945945E-8
e08.SST.max,0.3120644559860235,7.444427296832146E-8
e08.SST.max,0.396907209777833,8.50099510785185E-8
e08.SST.max,0.4817499635696416,9.702580427983776E-8
e08.SST.max,0.5665927173614511,1.106837075326439E-7
e08.SST.max,0.6514354711532597,1.2619995004570228E-7
e08.SST.max,0.7362782249450683,1.4381811297425884E-7
e08.SST.max,0.8211209787368787,1.6381248713059904E-7
e08.SST.max,0.9059637325286873,1.864916612248635E-7
e08.SST.max,0.9908064863204968,2.1220265011834272E-7
e08.SST.max,1.0756492401123054,2.4133549914040486E-7
e08.SST.max,1.160491993904114,2.743282436767913E-7
e08.SST.max,1.2453347476959236,3.116728066743235E-7
e08.SST.max,1.3301775014877322,3.539209387781739E-7
e08.SST.max,1.4150202552795417,4.0169140902435174E-7
e08.SST.max,1.4998630090713512,4.5567779238808725E-7
e08.SST.max,1.5847057628631598,5.166567689229851E-7
e08.SST.max,1.6695485166549693,5.854980145159061E-7
e08.SST.max,1.754391270446778,6.631743190155248E-7
e08.SST.max,1.8392340242385874,7.507734380851616E-7
e08.SST.max,1.924076778030396,8.495112524542492E-7
e08.SST.max,2.0089195318222046,9.60745410338859E-7
e08.SST.max,2.093762285614015,1.085991925720009E-6
e08.SST.max,2.1786050394058236,1.2269412081877817E-6
e08.SST.max,2.263447793197633,1.3854786402589525E-6
e08.SST.max,2.3482905469894417,1.5637053820682922E-6
e08.SST.max,2.4331333007812512,1.7639617908571381E-6
e08.SST.max,2.51797605457306,1.988850954148802E-6
e08.SST.max,2.6028188083648685,2.2412705220631324E-6
e08.SST.max,2.687661562156678,2.5244421522074845E-6
e08.SST.max,2.7725043159484875,2.841943341991282E-6
e08.SST.max,2.857347069740297,3.197749265382299E-6
e08.SST.max,2.9421898235321056,3.596271653805161E-6
e08.SST.max,3.027032577323914,4.042401087644976E-6
e08.SST.max,3.1118753311157237,4.541562702797819E-6
e08.SST.max,3.1967180849075323,5.0997655307583045E-6
e08.SST.max,3.281560838699342,5.723664799006656E-6
e08.SST.max,3.3664035924911513,6.42062059341697E-6
e08.SST.max,3.451246346282961,7.198778348538326E-6
e08.SST.max,3.5360891000747685,8.067141607170925E-6
e08.SST.max,3.620931853866578,9.035649782163091E-6
e08.SST.max,3.7057746076583857,1.0115284567291383E-5
e08.SST.max,3.790617361450197,1.1318161341478117E-5
e08.SST.max,3.8754601152420065,1.2657632396440022E-5
e08.SST.max,3.9603028690338142,1.4148422451398801E-5
e08.SST.max,4.045145622825624,1.5806746887392364E-5
e08.SST.max,4.1299883766174315,1.7650458175921813E-5
e08.SST.max,4.214831130409243,1.9699202312040143E-5
e08.SST.max,4.2996738842010505,2.19745488720946E-5
e08.SST.max,4.38451663799286,2.450023384881206E-5
e08.SST.max,4.4693593917846695,2.73023106274195E-5
e08.SST.max,4.554202145576477,3.0409375540330075E-5
e08.SST.max,4.6390448993682885,3.385279342182912E-5
e08.SST.max,4.723887653160096,3.766694862861186E-5
e08.SST.max,4.808730406951906,4.1889536078087986E-5
e08.SST.max,4.893573160743713,4.656174496631138E-5
e08.SST.max,4.978415914535523,5.1728733524214476E-5
e08.SST.max,5.063258668327334,5.743985093431547E-5
e08.SST.max,5.148101422119142,6.374903750838712E-5
e08.SST.max,5.232944175910951,7.071519939927384E-5
e08.SST.max,5.317786929702759,7.840265607228503E-5
e08.SST.max,5.402629683494569,8.688160596648231E-5
e08.SST.max,5.487472437286378,9.62284320848994E-5
e08.SST.max,5.572315191078188,1.0652653872966766E-4
e08.SST.max,5.657157944869995,1.1786664981627837E-4
e08.SST.max,5.742000698661805,1.3034754374530166E-4
e08.SST.max,5.826843452453614,1.4407659182325006E-4
e08.SST.max,5.911686206245424,1.5917063865344971E-4
e08.SST.max,5.996528960037233,1.7575630045030266E-4
e08.SST.max,6.081371713829041,1.9397131109144539E-4
e08.SST.max,6.166214467620851,2.139649586752057E-4
e08.SST.max,6.251057221412658,2.358991769142449E-4
e08.SST.max,6.33589997520447,2.5994933093898E-4
e08.SST.max,6.420742728996279,2.8630535234697163E-4
e08.SST.max,6.505585482788087,3.1517291790805757E-4
e08.SST.max,6.590428236579896,3.467739443294704E-4
e08.SST.max,6.675270990371704,3.8134882925078273E-4
e08.SST.max,6.760113744163515,4.191569169051945E-4
e08.SST.max,6.844956497955323,4.6047818614169955E-4
e08.SST.max,6.9297992517471325,5.056146765127778E-4
e08.SST.max,7.014642005538942,5.54892118088901E-4
e08.SST.max,7.09948475933075,6.086606881581247E-4
e08.SST.max,7.184327513122561,6.672980962321162E-4
e08.SST.max,7.269170266914369,7.31210398953408E-4
e08.SST.max,7.354013020706178,8.008340955711901E-4
e08.SST.max,7.438855774497986,8.766382234171033E-4
e08.SST.max,7.5236985282897955,9.59126278758049E-4
e08.SST.max,7.608541282081605,0.0010488389525562525
e08.SST.max,7.6933840358734145,0.0011463543632999063
e08.SST.max,7.778226789665224,0.0012522934703156352
e08.SST.max,7.863069543457032,0.0013673206558451056
e08.SST.max,7.947912297248841,0.0014921465190127492
e08.SST.max,8.03275505104065,0.001627531019039452
e08.SST.max,8.11759780483246,0.0017742858035489917
e08.SST.max,8.202440558624268,0.0019332774681970477
e08.SST.max,8.287283312416077,0.0021054306998848915
e08.SST.max,8.372126066207887,0.0022917306050658226
e08.SST.max,8.456968819999696,0.0024932296946644783
e08.SST.max,8.541811573791506,0.0027110406663268805
e08.SST.max,8.626654327583314,0.002946354215964675
e08.SST.max,8.711497081375123,0.0032004332169890404
e08.SST.max,8.79633983516693,0.003474618773907423
e08.SST.max,8.881182588958742,0.003770334180444479
e08.SST.max,8.966025342750552,0.004089088179171085
e08.SST.max,9.05086809654236,0.00443247938528657
e08.SST.max,9.135710850334169,0.004802199080586433
e08.SST.max,9.220553604125978,0.005200037267059088
e08.SST.max,9.305396357917788,0.005627884063869715
e08.SST.max,9.390239111709596,0.00608773622661829
e08.SST.max,9.475081865501405,0.006581698544323444
e08.SST.max,9.559924619293213,0.007111996412277222
e08.SST.max,9.644767373085024,0.007680954411625862
e08.SST.max,9.729610126876834,0.008291034959256649
e08.SST.max,9.814452880668641,0.00894482247531414
e08.SST.max,9.89929563446045,0.009645026177167892
e08.SST.max,9.984138388252259,0.010394490323960781
e08.SST.max,10.06898114204407,0.011196194216609001
e08.SST.max,10.153823895835878,0.01205325685441494
e08.SST.max,10.238666649627687,0.012968936003744602
e08.SST.max,10.323509403419497,0.013946636579930782
e08.SST.max,10.408352157211304,0.014989909715950489
e08.SST.max,10.493194911003116,0.01610245555639267
e08.SST.max,10.578037664794923,0.017288122326135635
e08.SST.max,10.662880418586733,0.01855091191828251
e08.SST.max,10.74772317237854,0.01989499107003212
e08.SST.max,10.83256592617035,0.02132463827729225
e08.SST.max,10.917408679962161,0.02284432016313076
e08.SST.max,11.002251433753969,0.024458644911646843
e08.SST.max,11.087094187545778,0.026172364130616188
e08.SST.max,11.171936941337586,0.027990378439426422
e08.SST.max,11.256779695129394,0.029917728155851364
e08.SST.max,11.341622448921205,0.03195958584547043
e08.SST.max,11.426465202713013,0.03412126377224922
e08.SST.max,11.511307956504824,0.0364081934094429
e08.SST.max,11.596150710296632,0.03882591798901558
e08.SST.max,11.680993464088443,0.04138009995222092
e08.SST.max,11.765836217880251,0.04407648742198944
e08.SST.max,11.850678971672059,0.04692095145583153
e08.SST.max,11.93552172546387,0.04991934075951576
e08.SST.max,12.020364479255678,0.05307765677571297
e08.SST.max,12.105207233047489,0.05640191212296486
e08.SST.max,12.190049986839293,0.059898145496845245
e08.SST.max,12.274892740631104,0.06357239931821823
e08.SST.max,12.359735494422916,0.06743070483207703
e08.SST.max,12.444578248214723,0.07147906720638275
e08.SST.max,12.529421002006535,0.07572340965270996
e08.SST.max,12.614263755798339,0.08016960322856903
e08.SST.max,12.69910650959015,0.08482338488101959
e08.SST.max,12.783949263381961,0.08969036489725113
e08.SST.max,12.868792017173769,0.09477598965167999
e08.SST.max,12.95363477096558,0.10008556395769119
e08.SST.max,13.038477524757385,0.1056239977478981
e08.SST.max,13.123320278549196,0.11139608919620514
e08.SST.max,13.208163032341007,0.11740632355213165
e08.SST.max,13.293005786132815,0.12365882098674774
e08.SST.max,13.377848539924623,0.13015736639499664
e08.SST.max,13.46269129371643,0.13690534234046936
e08.SST.max,13.547534047508242,0.1439056694507599
e08.SST.max,13.632376801300053,0.1511608362197876
e08.SST.max,13.71721955509186,0.15867279469966888
e08.SST.max,13.802062308883668,0.16644299030303955
e08.SST.max,13.886905062675476,0.17447227239608765
e08.SST.max,13.971747816467287,0.18276089429855347
e08.SST.max,14.056590570259099,0.19130855798721313
e08.SST.max,14.141433324050903,0.20011401176452637
e08.SST.max,14.226276077842714,0.20917561650276184
e08.SST.max,14.311118831634522,0.21849089860916138
e08.SST.max,14.395961585426333,0.2280566543340683
e08.SST.max,14.480804339218144,0.23786893486976624
e08.SST.max,14.565647093009948,0.24792298674583435
e08.SST.max,14.65048984680176,0.2582133114337921
e08.SST.max,14.735332600593567,0.26873359084129333
e08.SST.max,14.820175354385379,0.27947670221328735
e08.SST.max,14.90501810817719,0.29043474793434143
e08.SST.max,14.989860861968994,0.30159905552864075
e08.SST.max,15.074703615760805,0.3129601776599884
e08.SST.max,15.159546369552613,0.3245078921318054
e08.SST.max,15.244389123344424,0.33623138070106506
e08.SST.max,15.329231877136232,0.34811869263648987
e08.SST.max,15.41407463092804,0.36015763878822327
e08.SST.max,15.498917384719851,0.3723352551460266
e08.SST.max,15.583760138511659,0.3846379816532135
e08.SST.max,15.66860289230347,0.3970516622066498
e08.SST.max,15.753445646095278,0.4095616936683655
e08.SST.max,15.838288399887086,0.4221530258655548
e08.SST.max,15.923131153678897,0.43481025099754333
e08.SST.max,16.007973907470706,0.4475176930427551
e08.SST.max,16.09281666126251,0.4602591395378113
e08.SST.max,16.177659415054322,0.47301846742630005
e08.SST.max,16.262502168846133,0.48577946424484253
e08.SST.max,16.347344922637944,0.4985257387161255
e08.SST.max,16.43218767642975,0.5112410187721252
e08.SST.max,16.51703043022156,0.5239090919494629
e08.SST.max,16.60187318401337,0.5365139245986938
e08.SST.max,16.686715937805175,0.5490398406982422
e08.SST.max,16.771558691596987,0.5614712834358215
e08.SST.max,16.856401445388798,0.573793351650238
e08.SST.max,16.941244199180602,0.5859913229942322
e08.SST.max,17.026086952972413,0.5980511903762817
e08.SST.max,17.110929706764225,0.6099593639373779
e08.SST.max,17.195772460556036,0.621703028678894
e08.SST.max,17.28061521434784,0.6332699060440063
e08.SST.max,17.36545796813965,0.6446484923362732
e08.SST.max,17.450300721931463,0.6558281183242798
e08.SST.max,17.535143475723267,0.6667986512184143
e08.SST.max,17.619986229515078,0.6775510907173157
e08.SST.max,17.704828983306882,0.688076913356781
e08.SST.max,17.789671737098693,0.6983686685562134
e08.SST.max,17.874514490890505,0.708419680595398
e08.SST.max,17.959357244682316,0.7182241678237915
e08.SST.max,18.04419999847412,0.7277773022651672
e08.SST.max,18.12904275226593,0.7370744347572327
e08.SST.max,18.213885506057743,0.746112585067749
e08.SST.max,18.298728259849554,0.7548890709877014
e08.SST.max,18.383571013641358,0.7634022235870361
e08.SST.max,18.46841376743317,0.7716509699821472
e08.SST.max,18.553256521224974,0.779634952545166
e08.SST.max,18.638099275016785,0.7873546481132507
e08.SST.max,18.722942028808596,0.794810950756073
e08.SST.max,18.807784782600407,0.8020055294036865
e08.SST.max,18.89262753639221,0.808940589427948
e08.SST.max,18.977470290184023,0.8156187534332275
e08.SST.max,19.062313043975834,0.8220431804656982
