done,locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),SAP Number,Genus,Species,Year,Month,Day,Collector,Determination
y,Ise ,,,,34.522919,136.775086,,,,,8879,"POLYGON ((136.766649515725 34.602653731439, 136.758277421807 34.6017414659276, 136.750033612952 34.6002287613771, 136.741980996494 34.5981271622023, 136.734181008546 34.5954527060201, 136.72669314183 34.5922258002736, 136.719574488941 34.5884710652945, 136.712879305693 34.5842171439987, 136.706658590601 34.5794964869851, 136.700959705948 34.5743450929579, 136.695826007371 34.568802242291, 136.691296511823 34.5629101949289, 136.687405619208 34.5567138574293, 136.684182833424 34.550260450242, 136.681652551327 34.5435991405891, 136.679833878924 34.5367806678943, 136.67874049057 34.529856956329, 136.678380529988 34.5228807186892, 136.678756553692 34.5159050546451, 136.679865517101 34.5089830464388, 136.681698803255 34.5021673551108, 136.684242293767 34.4955098203229, 136.687476481302 34.4890610668019, 136.691376622566 34.4828701203716, 136.695912932546 34.4769840376243, 136.701050804539 34.4714475440166, 136.706751094628 34.4663027062802, 136.712970404465 34.4615886055797, 136.719661414329 34.4573410412431, 136.726773252725 34.4535922709453, 136.734251870811 34.4503707562843, 136.742040457008 34.4477009537856, 136.75007986503 34.4456031294919, 136.758309060097 34.4440932063215, 136.766665578906 34.4431826441777, 136.775086 34.442878353685, 136.783506421094 34.4431826441777, 136.791862939903 34.4440932063215, 136.80009213497 34.4456031294919, 136.808131542992 34.4477009537856, 136.815920129189 34.4503707562843, 136.823398747275 34.4535922709453, 136.830510585671 34.4573410412431, 136.837201595535 34.4615886055797, 136.843420905372 34.4663027062802, 136.849121195461 34.4714475440166, 136.854259067454 34.4769840376243, 136.858795377434 34.4828701203716, 136.862695518698 34.4890610668019, 136.865929706233 34.4955098203229, 136.868473196745 34.5021673551108, 136.870306482899 34.5089830464388, 136.871415446308 34.5159050546451, 136.871791470012 34.5228807186892, 136.87143150943 34.529856956329, 136.870338121076 34.5367806678943, 136.868519448673 34.5435991405891, 136.865989166576 34.550260450242, 136.862766380792 34.5567138574293, 136.858875488177 34.5629101949289, 136.854345992629 34.568802242291, 136.849212294052 34.5743450929579, 136.843513409399 34.5794964869851, 136.837292694307 34.5842171439987, 136.830597511059 34.5884710652945, 136.82347885817 34.5922258002736, 136.815990991454 34.5954527060201, 136.808191003506 34.5981271622023, 136.800138387048 34.6002287613771, 136.791894578193 34.6017414659276, 136.783522484275 34.602653731439, 136.775086 34.6029585955305, 136.766649515725 34.602653731439))",81095,Heterosiphonia,japonica,,,,??,K. Okamura
y,"Itsukushima, Hiroshima Prefecture, Japan",,,,34.264873,132.313402,,,,,5360,"POLYGON ((132.308326688961 34.3130088216552, 132.303290070071 34.3124582969307, 132.298330538997 34.3115454200792, 132.293485900763 34.3102771501071, 132.288793080204 34.3086631548697, 132.284287839291 34.306715737019, 132.280004505463 34.3044497375185, 132.275975700395 34.3018824325956, 132.272232106299 34.2990333825687, 132.268802220133 34.2959242975158, 132.265712139682 34.2925788666386, 132.262985362069 34.2890225785458, 132.260642614865 34.2852825214077, 132.25870168862 34.2813871821166, 132.257177308097 34.2773662256607, 132.256081020512 34.2732502694272, 132.255421109308 34.2690706497165, 132.255202532935 34.2648591829094, 132.255426889056 34.260647923116, 132.256092404393 34.2564689181564, 132.257193950218 34.2523539657325, 132.258723083321 34.2483343716446, 132.260668112079 34.244440711885, 132.263014190036 34.2407026018281, 132.265743416617 34.2371484649771, 132.268834998717 34.2338053283934, 132.272265390572 34.2306986095369, 132.276008479031 34.227851925714, 132.280035782496 34.225286915106, 132.284316664318 34.2230230682221, 132.28881857744 34.2210775960371, 132.293507295486 34.2194652803336, 132.298347181139 34.2181983727317, 132.303301453967 34.2172864996915, 132.308332468717 34.2167365897192, 132.313402 34.2165528209816, 132.318471531283 34.2167365897192, 132.323502546033 34.2172864996915, 132.328456818862 34.2181983727317, 132.333296704514 34.2194652803336, 132.33798542256 34.2210775960371, 132.342487335682 34.2230230682221, 132.346768217504 34.225286915106, 132.350795520969 34.227851925714, 132.354538609428 34.2306986095369, 132.357969001283 34.2338053283934, 132.361060583384 34.2371484649771, 132.363789809964 34.2407026018281, 132.366135887921 34.244440711885, 132.36808091668 34.2483343716446, 132.369610049782 34.2523539657325, 132.370711595607 34.2564689181564, 132.371377110944 34.260647923116, 132.371601467065 34.2648591829094, 132.371382890692 34.2690706497165, 132.370722979488 34.2732502694272, 132.369626691903 34.2773662256607, 132.36810231138 34.2813871821166, 132.366161385135 34.2852825214077, 132.363818637931 34.2890225785458, 132.361091860318 34.2925788666386, 132.358001779867 34.2959242975158, 132.354571893701 34.2990333825687, 132.350828299605 34.3018824325956, 132.346799494537 34.3044497375185, 132.342516160709 34.306715737019, 132.338010919796 34.3086631548697, 132.333318099237 34.3102771501071, 132.328473461003 34.3115454200792, 132.323513929929 34.3124582969307, 132.318477311039 34.3130088216552, 132.313402 34.3131927974069, 132.308326688961 34.3130088216552))",94840,Heterosiphonia,japonica,1996,4,20,H. Tanaka,H. Tanaka
y,Iwaki Onahama Ena,,,,36.963797,140.962937,,,,,10414,"POLYGON ((140.952732481069 37.0572780315847, 140.942605909802 37.0562082040588, 140.932634631918 37.0544342398606, 140.922894794104 37.0519696878766, 140.913460756572 37.0488333698961, 140.904404519986 37.0450492353756, 140.8957951722 37.0406461757373, 140.887698353228 37.0356578065062, 140.880175760831 37.030122198416, 140.873284670917 37.0240815937687, 140.867077496943 37.0175820817475, 140.861601411066 37.0106732322126, 140.856897965483 37.0034077295983, 140.853002791533 36.9958409611246, 140.849945331175 36.9880305940746, 140.847748619121 36.9800361344996, 140.846429114689 36.9719184723943, 140.845996584437 36.9637394168624, 140.846454036231 36.9555612248523, 140.847797704982 36.947446127075, 140.850017089918 36.9394558547192, 140.853095042821 36.9316511705543, 140.857007906326 36.9240914079618, 140.861725700985 36.9168340213563, 140.867212359466 36.9099341513586, 140.873426008174 36.9034442094703, 140.880319278606 36.8974134750024, 140.887839690802 36.8918877371249, 140.895930035083 36.8869089382358, 140.904528810258 36.8825148580475, 140.913570697816 36.878738839572, 140.922987045794 36.8756095275113, 140.932706391014 36.8731506584487, 140.942654995925 36.8713808814992, 140.95275740275 36.8703136183205, 140.962937 36.8699569623972, 140.97311659725 36.8703136183205, 140.983219004075 36.8713808814992, 140.993167608986 36.8731506584487, 141.002886954206 36.8756095275112, 141.012303302184 36.878738839572, 141.021345189742 36.8825148580475, 141.029943964917 36.8869089382358, 141.038034309198 36.8918877371249, 141.045554721394 36.8974134750024, 141.052447991826 36.9034442094703, 141.058661640534 36.9099341513586, 141.064148299015 36.9168340213563, 141.068866093674 36.9240914079618, 141.072778957179 36.9316511705543, 141.075856910082 36.9394558547192, 141.078076295018 36.947446127075, 141.079419963769 36.9555612248523, 141.079877415563 36.9637394168624, 141.079444885311 36.9719184723943, 141.078125380879 36.9800361344996, 141.075928668825 36.9880305940746, 141.072871208467 36.9958409611246, 141.068976034517 37.0034077295983, 141.064272588934 37.0106732322126, 141.058796503057 37.0175820817475, 141.052589329083 37.0240815937687, 141.045698239169 37.030122198416, 141.038175646772 37.0356578065062, 141.0300788278 37.0406461757373, 141.021469480014 37.0450492353756, 141.012413243428 37.0488333698961, 141.002979205896 37.0519696878766, 140.993239368082 37.0544342398606, 140.983268090198 37.0562082040588, 140.973141518931 37.0572780315847, 140.962937 37.0576355510364, 140.952732481069 37.0572780315847))",81092,Heterosiphonia,japonica,1933,7,22,K. Okamura,K. Okamura
y,Iwaki Onahama ,,,,36.934849,140.892555,,,,,4237,"POLYGON ((140.888407815726 36.9728828029743, 140.884292241025 36.9724478454157, 140.880239643471 36.9717266005705, 140.876280908527 36.9707245654498, 140.872446203181 36.9694493768695, 140.868764746151 36.9679107516669, 140.865264580051 36.9661204185972, 140.861972364947 36.9640920173582, 140.858913168971 36.9618410033632, 140.856110278677 36.9593845268938, 140.853585021657 36.9567413019894, 140.851356599656 36.9539314655822, 140.849441958767 36.9509764156299, 140.847855640997 36.9478986585084, 140.846609685802 36.9447216309878, 140.845713537013 36.9414695228483, 140.845173972133 36.9381670924572, 140.844995052059 36.934839478105, 140.845178091563 36.931512006543, 140.845721650707 36.9282100001839, 140.84662154723 36.9249585844342, 140.847870889754 36.9217824966235, 140.84946013153 36.9187058979793, 140.851377144254 36.9157521900719, 140.853607313815 36.9129438384814, 140.85613364111 36.9103021960898, 140.858936891825 36.9078473517285, 140.861995727414 36.9055979698462, 140.865286872271 36.9035711511332, 140.868785290784 36.9017823029178, 140.872464375955 36.9002450197235, 140.876296157296 36.8989709896215, 140.880251504908 36.8979698942116, 140.884300354726 36.8972493417572, 140.88841193516 36.8968148082311, 140.892555 36.8966695958785, 140.89669806484 36.8968148082311, 140.900809645274 36.8972493417572, 140.904858495092 36.8979698942116, 140.908813842704 36.8989709896215, 140.912645624045 36.9002450197235, 140.916324709216 36.9017823029178, 140.919823127729 36.9035711511332, 140.923114272586 36.9055979698462, 140.926173108175 36.9078473517285, 140.92897635889 36.9103021960898, 140.931502686185 36.9129438384814, 140.933732855746 36.9157521900719, 140.93564986847 36.9187058979793, 140.937239110246 36.9217824966235, 140.93848845277 36.9249585844342, 140.939388349293 36.9282100001839, 140.939931908437 36.931512006543, 140.940114947941 36.934839478105, 140.939936027867 36.9381670924572, 140.939396462987 36.9414695228483, 140.938500314198 36.9447216309878, 140.937254359003 36.9478986585084, 140.935668041233 36.9509764156299, 140.933753400344 36.9539314655822, 140.931524978343 36.9567413019894, 140.928999721323 36.9593845268938, 140.926196831029 36.9618410033632, 140.923137635053 36.9640920173582, 140.919845419949 36.9661204185972, 140.916345253849 36.9679107516669, 140.912663796819 36.9694493768695, 140.908829091473 36.9707245654498, 140.904870356529 36.9717266005705, 140.900817758975 36.9724478454157, 140.896702184274 36.9728828029743, 140.892555 36.9730281581173, 140.888407815726 36.9728828029743))",81089,Heterosiphonia,japonica,1934,5,2,K. Okamura,K. Okamura
y,"Iwaya, Wakamatsu-ku, Kitakyushu, Fukuoka Prefecture, Japan",,,,33.926481,130.678447,,,,,963,"POLYGON ((130.677539195966 33.9351298035609, 130.676638302958 33.9350309340137, 130.67575118019 33.9348669853353, 130.67488457947 33.934639211438, 130.67404509853 33.9343493431461, 130.67323912784 33.9339995870749, 130.672472802578 33.9335926057314, 130.671751955891 33.9331314972378, 130.671082074466 33.9326197717334, 130.670468256739 33.9320613246348, 130.66991517408 33.9314604069583, 130.669427035241 33.930821592933, 130.669007554337 33.9301497451527, 130.668659922611 33.9294499775348, 130.668386784198 33.9287276163706, 130.668190216052 33.9279881597664, 130.668071712208 33.9272372357842, 130.668032172481 33.9264805596014, 130.668071895686 33.9257238900161, 130.668190577434 33.9249729856257, 130.668387312503 33.9242335610126, 130.668660601787 33.9235112432667, 130.669008363747 33.9228115291751, 130.669427950294 33.9221397434029, 130.669916166971 33.9215009979833, 130.6704692973 33.9209001534258, 130.67108313108 33.9203417817376, 130.671752996453 33.9198301316439, 130.672473795471 33.9193690962699, 130.673240042896 33.9189621835332, 130.674045907945 33.9186124894713, 130.67488525865 33.918322674707, 130.675751708498 33.9180949442293, 130.676638664341 33.9179310275358, 130.677539379445 33.9178321775807, 130.678447 33.9177991438184, 130.679354620555 33.9178321775807, 130.680255335659 33.9179310275358, 130.681142291502 33.9180949442293, 130.68200874135 33.918322674707, 130.682848092055 33.9186124894713, 130.683653957104 33.9189621835332, 130.684420204529 33.9193690962699, 130.685141003547 33.9198301316439, 130.68581086892 33.9203417817376, 130.6864247027 33.9209001534258, 130.686977833029 33.9215009979833, 130.687466049706 33.9221397434029, 130.687885636253 33.9228115291751, 130.688233398213 33.9235112432667, 130.688506687497 33.9242335610126, 130.688703422566 33.9249729856257, 130.688822104314 33.9257238900161, 130.688861827519 33.9264805596014, 130.688822287792 33.9272372357842, 130.688703783948 33.9279881597664, 130.688507215802 33.9287276163706, 130.688234077389 33.9294499775348, 130.687886445663 33.9301497451527, 130.687466964759 33.930821592933, 130.68697882592 33.9314604069583, 130.686425743261 33.9320613246348, 130.685811925534 33.9326197717334, 130.685142044109 33.9331314972378, 130.684421197422 33.9335926057314, 130.68365487216 33.9339995870749, 130.68284890147 33.9343493431461, 130.68200942053 33.934639211438, 130.68114281981 33.9348669853353, 130.680255697042 33.9350309340137, 130.679354804034 33.9351298035609, 130.678447 33.9351628439207, 130.677539195966 33.9351298035609))",68122,Heterosiphonia,japonica,1978,4,5,T. Yoshida,T. Yoshida
y,"Kakura, Sabusawa-jima, Matsushima Bay, Miyagi Prefecture, Japan",,,,38.332994,141.123612,,,,,1007,"POLYGON ((141.122608078091 38.3420313105587, 141.121611799441 38.3419279975362, 141.120630749058 38.3417566833129, 141.119672395906 38.3415186721202, 141.118744035977 38.3412157759559, 141.117852736699 38.3408503007828, 141.117005283081 38.340425028964, 141.116208126014 38.3399431980653, 141.115467333133 38.3394084761877, 141.114788542604 38.3388249340175, 141.114176920195 38.3381970138072, 141.11363711997 38.3375294955266, 141.113173248885 38.3368274604427, 141.11278883558 38.3360962524095, 141.112486799888 38.3353414379403, 141.112269444829 38.334568760531, 141.112138419051 38.3337841020412, 141.112094716987 38.3329934344821, 141.112138668396 38.3322027754076, 141.112269935943 38.3314181421138, 141.112487517849 38.3306455058463, 141.11278975857 38.3298907472144, 141.113174348862 38.3291596080175, 141.113638363511 38.3284576526777, 141.114178269517 38.3277902226259, 141.114789956709 38.3271623964485, 141.115468769054 38.326578951258, 141.116209540121 38.3260443263605, 141.117006632406 38.3255625894954, 141.117853980245 38.3251374059065, 141.118745135958 38.3247720104788, 141.1196733189 38.3244691831522, 141.120631467021 38.324231227798, 141.121612290556 38.3240599547173, 141.122608327437 38.3239566668912, 141.123612 38.3239221500868, 141.124615672563 38.3239566668912, 141.125611709444 38.3240599547173, 141.126592532979 38.324231227798, 141.1275506811 38.3244691831522, 141.128478864042 38.3247720104788, 141.129370019755 38.3251374059065, 141.130217367594 38.3255625894954, 141.131014459879 38.3260443263605, 141.131755230946 38.326578951258, 141.132434043291 38.3271623964485, 141.133045730483 38.3277902226259, 141.133585636489 38.3284576526777, 141.134049651138 38.3291596080175, 141.134434241431 38.3298907472144, 141.134736482151 38.3306455058463, 141.134954064057 38.3314181421138, 141.135085331604 38.3322027754076, 141.135129283013 38.3329934344821, 141.135085580949 38.3337841020412, 141.134954555171 38.334568760531, 141.134737200112 38.3353414379403, 141.13443516442 38.3360962524095, 141.134050751115 38.3368274604427, 141.13358688003 38.3375294955266, 141.133047079805 38.3381970138072, 141.132435457396 38.3388249340175, 141.131756666867 38.3394084761877, 141.131015873986 38.3399431980653, 141.130218716919 38.340425028964, 141.129371263301 38.3408503007828, 141.128479964023 38.3412157759559, 141.127551604094 38.3415186721202, 141.126593250942 38.3417566833129, 141.125612200559 38.3419279975362, 141.124615921909 38.3420313105587, 141.123612 38.3420658358478, 141.122608078091 38.3420313105587))",91942,Heterosiphonia,japonica,1966,7,29,T. Yoshida,T. Yoshida
y,Kameura,,,Ehime,33.500197,132.328329,,,,,1216,"POLYGON ((132.32718831948 33.5111187749727, 132.32605632349 33.5109939187221, 132.324941630369 33.510786881442, 132.323852726573 33.5104992393827, 132.32279790313 33.5101331804278, 132.321785187708 33.5096914962316, 132.320822290856 33.5091775464948, 132.319916542265 33.5085952438672, 132.319074836159 33.5079490213187, 132.318303578784 33.5072437983621, 132.317608639626 33.5064849435653, 132.316995306747 33.5056782336417, 132.316468246561 33.5048298094335, 132.316031468366 33.5039461291257, 132.315688293902 33.5030339190519, 132.315441332157 33.5021001224673, 132.315292459605 33.5011518466828, 132.315242806037 33.5001963089619, 132.315292746065 33.4992407815919, 132.315441896373 33.4982925365451, 132.315689118733 33.4973587901512, 132.316032528748 33.4964466481962, 132.316469510276 33.4955630518659, 132.316996735398 33.494714724942, 132.317610189804 33.493908122654, 132.318305203387 33.4931493825734, 132.319076485826 33.4924442779282, 132.319918166871 33.4917981736915, 132.320823841038 33.4912159857812, 132.321786616364 33.4907021436815, 132.322799166851 33.4902605567716, 132.323853786958 33.4898945817871, 132.324942455202 33.4896070078472, 132.326056887709 33.4894000207582, 132.327188605941 33.4892751952456, 132.328329 33.489233480957, 132.329469394059 33.4892751952456, 132.330601112291 33.4894000207582, 132.331715544798 33.4896070078472, 132.332804213042 33.4898945817871, 132.333858833149 33.4902605567716, 132.334871383636 33.4907021436815, 132.335834158962 33.4912159857812, 132.336739833129 33.4917981736915, 132.337581514174 33.4924442779282, 132.338352796613 33.4931493825734, 132.339047810196 33.493908122654, 132.339661264602 33.494714724942, 132.340188489724 33.4955630518659, 132.340625471252 33.4964466481962, 132.340968881267 33.4973587901512, 132.341216103627 33.4982925365451, 132.341365253935 33.4992407815919, 132.341415193963 33.5001963089619, 132.341365540395 33.5011518466828, 132.341216667843 33.5021001224673, 132.340969706098 33.5030339190519, 132.340626531634 33.5039461291257, 132.340189753439 33.5048298094335, 132.339662693253 33.5056782336417, 132.339049360374 33.5064849435653, 132.338354421216 33.5072437983621, 132.337583163841 33.5079490213187, 132.336741457735 33.5085952438672, 132.335835709144 33.5091775464948, 132.334872812292 33.5096914962316, 132.33386009687 33.5101331804278, 132.332805273427 33.5104992393827, 132.331716369631 33.510786881442, 132.33060167651 33.5109939187221, 132.32946968052 33.5111187749727, 132.328329 33.5111604996121, 132.32718831948 33.5111187749727))",35376,Heterosiphonia,japonica,1958,4,5,Y. Nomura,Y. Yamada
y,"Kameura, Ikata, Ehime Prefecture, Japan",,,,33.498735,132.326825,,,,,618,"POLYGON ((132.326245324946 33.5042857073955, 132.325670062373 33.5042222565308, 132.325103591163 33.5041170418516, 132.324550223252 33.5039708642131, 132.324014170799 33.5037848362696, 132.323499514103 33.5035603740085, 132.32301017053 33.5032991859729, 132.32254986468 33.5030032602556, 132.322122100019 33.5026748493616, 132.321730132203 33.5023164530549, 132.321376944291 33.50193079932, 132.321065224038 33.5015208235847, 132.320797343449 33.5010896463623, 132.320575340737 33.5006405494868, 132.320400904833 33.5001769511223, 132.320275362559 33.4997023797379, 132.320199668559 33.4992204472478, 132.320174398063 33.4987348215207, 132.320199742544 33.498249198467, 132.320275508281 33.4977672739158, 132.320401117864 33.4972927154945, 132.320575614605 33.4968291347235, 132.320797669832 33.4963800595375, 132.32106559302 33.4959489074413, 132.32137734466 33.4955389595058, 132.321730551794 33.4951533353995, 132.322122526083 33.4947949696499, 132.322550284271 33.4944665893131, 132.3230105709 33.4941706932246, 132.323499883086 33.4939095329892, 132.324014497184 33.4936850958549, 132.324550497122 33.4934990896014, 132.325103804195 33.4933529295569, 132.325670208096 33.4932477278412, 132.326245398932 33.4931842849157, 132.326825 33.4931630835019, 132.327404601068 33.4931842849157, 132.327979791904 33.4932477278412, 132.328546195805 33.4933529295569, 132.329099502878 33.4934990896014, 132.329635502816 33.4936850958549, 132.330150116914 33.4939095329892, 132.3306394291 33.4941706932246, 132.331099715729 33.4944665893131, 132.331527473917 33.4947949696499, 132.331919448206 33.4951533353995, 132.33227265534 33.4955389595058, 132.33258440698 33.4959489074413, 132.332852330168 33.4963800595375, 132.333074385395 33.4968291347235, 132.333248882136 33.4972927154945, 132.333374491719 33.4977672739158, 132.333450257456 33.498249198467, 132.333475601937 33.4987348215207, 132.333450331441 33.4992204472478, 132.333374637441 33.4997023797379, 132.333249095167 33.5001769511223, 132.333074659263 33.5006405494868, 132.332852656551 33.5010896463623, 132.332584775962 33.5015208235847, 132.332273055709 33.50193079932, 132.331919867797 33.5023164530549, 132.331527899981 33.5026748493616, 132.33110013532 33.5030032602556, 132.33063982947 33.5032991859729, 132.330150485897 33.5035603740085, 132.329635829201 33.5037848362696, 132.329099776748 33.5039708642131, 132.328546408837 33.5041170418516, 132.327979937627 33.5042222565308, 132.327404675054 33.5042857073955, 132.326825 33.5043069114827, 132.326245324946 33.5042857073955))",63867,Heterosiphonia,japonica,1957,5,17,Y. Nomura,Y. Yamada
y,"Kameura, Ikata, Ehime Prefecture, Japan",,,,33.498735,132.326825,,,,,618,,87968,Heterosiphonia,japonica,1958,5,6,Y. Nomura,Y. Yamada
y,"Kameura, Ikata, Ehime Prefecture, Japan",,,,33.498735,132.326825,,,,,618,,87980,Heterosiphonia,japonica,1957,6,1,Y. Nomura,Y. Yamada
y,"Kameura, Ikata, Ehime Prefecture, Japan",,,,33.498735,132.326825,,,,,618,,87981,Heterosiphonia,japonica,1957,5,17,Y. Nomura,Y. Yamada
y,"Kameura, Ikata, Ehime Prefecture, Japan",,,,33.498735,132.326825,,,,,618,,87982,Heterosiphonia,japonica,1957,5,17,Y. Nomura,Y. Yamada
y,Kanagawa,Japan,Kanto,Kanagawa,35.289777,139.374554,,High(83),,"35.417463,139.338848,KANAGAWA|Unavailable|301|High(83)",29681,"POLYGON ((139.346022262634 35.5562765377137, 139.317709819565 35.5532203782372, 139.289834229721 35.5481528814487, 139.262609596584 35.5411129840363, 139.236244878533 35.5321547656865, 139.21094224434 35.5213470219703, 139.186895488039 35.5087727216511, 139.164288518421 35.4945283514453, 139.143293923504 35.4787231658261, 139.12407166118 35.4614783108793, 139.106767806783 35.4429259015921, 139.091513483462 35.4232079636023, 139.078423854875 35.4024753462867, 139.067597291088 35.3808865419755, 139.059114656327 35.3586064601621, 139.053038741088 35.3358051541816, 139.049413838796 35.3126565123842, 139.04826546852 35.2893369241896, 139.049600244002 35.2660239314793, 139.053405888031 35.2428948757519, 139.059651390107 35.2201255513652, 139.068287304228 35.1978888750026, 139.079246182708 35.1763535812423, 139.092443141006 35.1556829537884, 139.107776547773 35.1360336015361, 139.125128835507 35.1175542895412, 139.144367411213 35.1003848238373, 139.16534569964 35.0846550256648, 139.187904243975 35.0704837560395, 139.21187192202 35.0579780431868, 139.237067229264 35.0472322914534, 139.263299632622 35.0383275859116, 139.290370983637 35.031331096071, 139.318076981454 35.0262955826054, 139.346208675792 35.0232590103273, 139.374554 35.0222442699336, 139.402899324208 35.0232590103273, 139.431031018546 35.0262955826054, 139.458737016363 35.031331096071, 139.485808367378 35.0383275859116, 139.512040770736 35.0472322914534, 139.53723607798 35.0579780431868, 139.561203756025 35.0704837560395, 139.58376230036 35.0846550256648, 139.604740588787 35.1003848238373, 139.623979164493 35.1175542895412, 139.641331452227 35.1360336015361, 139.656664858994 35.1556829537884, 139.669861817292 35.1763535812423, 139.680820695772 35.1978888750026, 139.689456609893 35.2201255513652, 139.695702111969 35.2428948757519, 139.699507755998 35.2660239314793, 139.70084253148 35.2893369241896, 139.699694161204 35.3126565123842, 139.696069258912 35.3358051541816, 139.689993343673 35.3586064601621, 139.681510708912 35.3808865419755, 139.670684145125 35.4024753462867, 139.657594516538 35.4232079636023, 139.642340193217 35.4429259015921, 139.62503633882 35.4614783108793, 139.605814076496 35.4787231658261, 139.584819481579 35.4945283514453, 139.562212511961 35.508772721651, 139.53816575566 35.5213470219703, 139.512863121467 35.5321547656865, 139.486498403416 35.5411129840363, 139.459273770279 35.5481528814487, 139.431398180435 35.5532203782372, 139.403085737366 35.5562765377137, 139.374554 35.5572978739837, 139.346022262634 35.5562765377137))",21260,Heterosiphonia,japonica,1940,3,,T. Tanaka,
y,Kanagawa Prefecture ,Japan,Kanto,Kanagawa,35.289777,139.374554,,,,,29681,"POLYGON ((139.346022262634 35.5562765377137, 139.317709819565 35.5532203782372, 139.289834229721 35.5481528814487, 139.262609596584 35.5411129840363, 139.236244878533 35.5321547656865, 139.21094224434 35.5213470219703, 139.186895488039 35.5087727216511, 139.164288518421 35.4945283514453, 139.143293923504 35.4787231658261, 139.12407166118 35.4614783108793, 139.106767806783 35.4429259015921, 139.091513483462 35.4232079636023, 139.078423854875 35.4024753462867, 139.067597291088 35.3808865419755, 139.059114656327 35.3586064601621, 139.053038741088 35.3358051541816, 139.049413838796 35.3126565123842, 139.04826546852 35.2893369241896, 139.049600244002 35.2660239314793, 139.053405888031 35.2428948757519, 139.059651390107 35.2201255513652, 139.068287304228 35.1978888750026, 139.079246182708 35.1763535812423, 139.092443141006 35.1556829537884, 139.107776547773 35.1360336015361, 139.125128835507 35.1175542895412, 139.144367411213 35.1003848238373, 139.16534569964 35.0846550256648, 139.187904243975 35.0704837560395, 139.21187192202 35.0579780431868, 139.237067229264 35.0472322914534, 139.263299632622 35.0383275859116, 139.290370983637 35.031331096071, 139.318076981454 35.0262955826054, 139.346208675792 35.0232590103273, 139.374554 35.0222442699336, 139.402899324208 35.0232590103273, 139.431031018546 35.0262955826054, 139.458737016363 35.031331096071, 139.485808367378 35.0383275859116, 139.512040770736 35.0472322914534, 139.53723607798 35.0579780431868, 139.561203756025 35.0704837560395, 139.58376230036 35.0846550256648, 139.604740588787 35.1003848238373, 139.623979164493 35.1175542895412, 139.641331452227 35.1360336015361, 139.656664858994 35.1556829537884, 139.669861817292 35.1763535812423, 139.680820695772 35.1978888750026, 139.689456609893 35.2201255513652, 139.695702111969 35.2428948757519, 139.699507755998 35.2660239314793, 139.70084253148 35.2893369241896, 139.699694161204 35.3126565123842, 139.696069258912 35.3358051541816, 139.689993343673 35.3586064601621, 139.681510708912 35.3808865419755, 139.670684145125 35.4024753462867, 139.657594516538 35.4232079636023, 139.642340193217 35.4429259015921, 139.62503633882 35.4614783108793, 139.605814076496 35.4787231658261, 139.584819481579 35.4945283514453, 139.562212511961 35.508772721651, 139.53816575566 35.5213470219703, 139.512863121467 35.5321547656865, 139.486498403416 35.5411129840363, 139.459273770279 35.5481528814487, 139.431398180435 35.5532203782372, 139.403085737366 35.5562765377137, 139.374554 35.5572978739837, 139.346022262634 35.5562765377137))",21262,Heterosiphonia,japonica,1940,3,,T. Tanaka,
