_id,license,title,format,rightsHolder,identifier,type
2473610,http://creativecommons.org/licenses/by/4.0/,Heterosiphonia japonica 1,image/tiff,"The Trustees of the Natural History Museum, London",https://www.nhm.ac.uk/services/media-store/asset/cd014f92412c1d0dd4723e2f05e8d71c54bc5359/contents/preview,StillImage
2473610,http://creativecommons.org/licenses/by/4.0/,Heterosiphonia japonica 2,image/tiff,"The Trustees of the Natural History Museum, London",https://www.nhm.ac.uk/services/media-store/asset/568169415c1edafbce7b81268201376c43b57c02/contents/preview,StillImage
2473610,http://creativecommons.org/licenses/by/4.0/,Heterosiphonia japonica 3,image/tiff,"The Trustees of the Natural History Museum, London",https://www.nhm.ac.uk/services/media-store/asset/26c33c4d91fc599da20bbac1ae0fd90d8774c558/contents/preview,StillImage
