id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
1025873,NHA,,,PreservedSpecimen,e9cfcc14-2462-4491-a846-c98e25410df3,NHA-624105,80815,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2012-12-26,2012,12,26,361,,,,,,,,,,,,,,,,,,,,,"United States",Massachusetts,Essex,,"Granite Pier, near Pigeon Cove, Sandy Bay, Rockport, MA",,0,,42.673706,-70.632822,,3036,,"ljv2000 (2018-05-11 17:31:14)",,"georef batch tool 2018-05-11; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:e9cfcc14-2462-4491-a846-c98e25410df3,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025873
1025896,NHA,,,PreservedSpecimen,241a7ee3-9d9e-46c9-a3ba-a82cd4b3c4a9,NHA-624128,80838,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2017-03-17,2017,3,17,76,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Strafford,,"Dover Point, Dover, NH",,0,,43.11916,-70.827568,,142,,"ljv2000 (2018-05-13 14:56:42)",,"georef batch tool 2018-05-13; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:241a7ee3-9d9e-46c9-a3ba-a82cd4b3c4a9,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025896
1025910,NHA,,,PreservedSpecimen,956155f6-832e-47ce-8d93-81ebfc941d5d,NHA-624142,80852,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2017-03-01,2017,3,1,60,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Strafford,,"Adams Point, Durham, NH",,0,,43.089809,-70.866168,,602,,"ljv2000 (2018-05-13 14:49:37)",,"georef batch tool 2018-05-13; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:956155f6-832e-47ce-8d93-81ebfc941d5d,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025910
1025913,NHA,,,PreservedSpecimen,12bff34c-e7f8-448c-ab68-62b1a196fec8,NHA-624145,80855,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"L. Harris",,,,2017-07-19,2017,7,19,200,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Rockingham,,"Gosport Harbor, Isles of Shoals, SCUBA, Rye, NH",,0,,42.978385,-70.611429,,267,,"ljv2000 (2018-05-13 14:32:17)",,"georef batch tool 2018-05-13; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:12bff34c-e7f8-448c-ab68-62b1a196fec8,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025913
1025918,NHA,,,PreservedSpecimen,bf8a14ce-da03-4926-89fe-31982f57e944,NHA-624150,80860,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"F. Short",,,,2017-06-26,2017,6,26,177,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Rockingham,,"Seagrass Net Site within Great Bay, NH",,0,,43.067792,-70.835929,,1809,,"ljv2000 (2018-05-13 14:45:49)",,"georef batch tool 2018-05-13; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:bf8a14ce-da03-4926-89fe-31982f57e944,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025918
1025925,NHA,,,PreservedSpecimen,7108f544-4f75-414b-9f9d-9b75e6ebc25a,NHA-624157,80867,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,"Nomenclatural Adjustment","September 24, 2018",,,,,,"A. C. Mathieson",,,,2017-08-29,2017,8,29,241,,,,,,,,,,,,,,,,,,,,,"United States","New Hampshire",Strafford,,"Adams Point, at Jackson Estuarine Laboratory Dock Area, Durham, NH",,0,,43.089746,-70.866168,,386,,"ljv2000 (2018-05-13 14:49:23)",,"georef batch tool 2018-05-13; GeoLocate","reviewed - high confidence",,,,,,,,,,Janet,"2018-09-24 08:34:21",,1,urn:uuid:7108f544-4f75-414b-9f9d-9b75e6ebc25a,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1025925
1061101,NHA,,,PreservedSpecimen,0eb2e279-ca99-41b9-9aa0-72c4088321ce,NHA-624898,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,,,,,,,,"A. Mauk",,"B. O'Brien, J. Robidoux, L. Green-Gavrielidis, M. Tyler",,2018-07-25,2018,7,25,206,,7/25/2018,"2018 Rapid Assessment Survey",,,,,,,,,,,,,,,,,,"United States",Maine,Cumberland,,"Brewer Freeport Marina, Freeport, ME",,0,,43.820698,-70.105341,,168,,,,,,,,,,,,,,,,"2019-04-17 13:02:36",,1,urn:uuid:0eb2e279-ca99-41b9-9aa0-72c4088321ce,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1061101
1061159,NHA,,,PreservedSpecimen,cff10e1e-cfa9-4008-ad7f-60415664dc99,NHA-625009,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,,,,,,,,"A. Mauk",,"B. O'Brien, L. Green-Gavrielidis",,2018-07-23,2018,7,23,204,,7/23/2018,"2018 Rapid Assessment Survey",,,,,,,,,,,,,,,,,,"United States",Massachusetts,Barnstable,,"Massachusetts Maritime Academy, Bourne, MA",,0,,41.737518,-70.62503,,188,,,,,,,,,,,,,,,,"2019-04-17 13:02:36",,1,urn:uuid:cff10e1e-cfa9-4008-ad7f-60415664dc99,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1061159
1061167,NHA,,,PreservedSpecimen,097c254b-c8e2-4f1a-96cd-08130b5383fe,NHA-625017,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,,,,,,,,"A. Mauk",,"B. O'Brien, L. Green-Gavrielidis",,2018-07-23,2018,7,23,204,,7/23/2018,"2018 Rapid Assessment Survey",,,,,,,,,,,,,,,,,,"United States",Massachusetts,Barnstable,,"Piling, Massachusetts Maritime Academy, Bourne, MA",,0,,41.737518,-70.62503,,188,,,,,,,,,,,,,,,,"2019-04-17 13:02:36",,1,urn:uuid:097c254b-c8e2-4f1a-96cd-08130b5383fe,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1061167
1061251,NHA,,,PreservedSpecimen,012a4dd5-025a-4f29-a0f5-7c866b355f73,NHA-624957,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,"Dasysiphonia japonica",210545,"(Yendo) H.-S.Kim",Dasysiphonia,japonica,,,,,,,,,,"A. Mauk",,"B. O'Brien, L. Green-Gavrielidis",,2018-07-23,2018,7,23,204,,7/23/2018,"2018 Rapid Assessment Survey",,,,,,,,,,,,,,,,,,"United States",Massachusetts,Barnstable,,"Sandwich Marina, Sandwich, MA",,0,,41.771395,-70.503214,,160,,,,,,,,,,,,,,,,"2019-04-17 13:02:36",,1,urn:uuid:012a4dd5-025a-4f29-a0f5-7c866b355f73,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1061251
