latitude,longitude
-51.69974,-57.777536
-51.563611,-60.403611
-51.521389,-48.033333
-43.116667,147.25
-43.11,147.27
-43.11,147.27
-43.11,147.27
-43.05,147.316667
-43.05,147.316667
-43.05,147.316667
-43.016667,147.283333
-43.016667,147.283333
-41.066667,174.85
-41.066667,174.85
-41.066667,174.85
-38.270912,145.29551
-38.270912,145.29551
-38.270912,145.29551
-38.263056,144.663889
-37.91443,144.99567
-37.872,144.906
-37.679444,174.684444
-37.61,149.71
-37.6,176.033333
-37.561639,175.946139
-37.52,149.78
-37.52,149.78
-37.32882,139.848404
-37.1,149.916667
-37.0475,174.503889
-37.045889,174.614111
-37.045889,174.614111
-37.045889,174.614111
-37.045,174.584306
-37.044722,174.575833
-37.036667,174.627222
-37.011389,174.580556
-36.998806,174.603611
-36.958889,175.246389
-36.885806,174.435694
-36.883333,174.933333
-36.8775,174.979167
-36.873056,174.886944
-36.870833,174.899167
-36.870753,174.893782
-36.863333,174.656667
-36.855611,174.7015
-36.855611,174.7015
-36.855611,174.7015
-36.85,174.833333
-36.85,174.833333
-36.849806,174.845194
-36.849806,174.845194
-36.848333,175.145278
-36.848333,174.901944
-36.848056,174.861667
-36.847611,174.723111
-36.847611,174.723111
-36.847611,174.723111
-36.847511,174.78828
-36.846806,174.835111
-36.846806,174.835111
-36.845278,174.825556
-36.842778,174.750556
-36.833333,174.783333
-36.829167,174.814167
-36.828611,174.898056
-36.827222,174.708611
-36.82568,174.708499
-36.819444,174.949444
-36.809194,175.026694
-36.808806,174.6905
-36.808806,174.6905
-36.807111,174.862611
-36.806944,174.850556
-36.790889,175.157194
-36.786333,174.796
-36.783611,174.992222
-36.781111,174.991389
-36.781111,174.991389
-36.78,175.045833
-36.777222,174.897778
-36.77548,174.89683
-36.718306,174.751
-36.704194,174.752111
-36.704194,174.752111
-36.704194,174.752111
-36.7,175.616667
-36.698,174.7575
-36.698,174.7575
-36.698,174.7575
-36.680556,174.748611
-36.617,174.818694
-36.617,174.818694
-36.601389,174.805111
-36.601389,174.805111
-36.583333,175.533333
-36.458111,174.764694
-36.458111,174.764694
-36.458111,174.764694
-36.402806,174.375306
-36.402806,174.375306
-36.316667,175.483333
-36.271944,175.504167
-36.266667,175.433333
-36.259722,174.251667
-36.117028,175.374806
-35.786794,137.775007
-35.786794,137.775007
-35.266667,174.133333
-35.266667,174.133333
-35.26265,174.1818
-35.25924,174.1846
-35.243889,174.078611
-35.2328,174.17883
-35.033283,117.891517
-35.033267,117.89035
-35.033267,117.89035
-35.033267,117.89035
-35.032883,117.890683
-35.032778,117.890278
-34.933333,138.6
-34.933333,138.6
-34.933333,138.6
-34.933333,138.6
-34.932059,138.6011
-34.9,138.6
-34.874838,138.490267
-34.860833,138.491111
-34.83060074,20.01280022
-34.827228,20.017659
-34.792893,138.487488
-34.787615,138.493877
-34.763448,138.488599
-34.733333,173.116667
-34.707893,138.460542
-34.667389,20.230861
-34.667001,20.233693
-34.628661,19.299776
-34.58330154,19.35000038
-34.583153,19.345329
-34.583153,19.345329
-34.386046,18.830367
-34.386046,18.830367
-34.38330078,18.83329964
-34.358547,18.474729
-34.357778,18.921667
-34.34999847,18.45000076
-34.342241,18.452622
-34.263906,18.373955
-34.263906,18.373955
-34.23178,18.47729
-34.23164,18.4769
-34.194856,18.819575
-34.194856,18.819575
-34.194856,18.819575
-34.194856,18.819575
-34.194856,18.819575
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.138929,18.329108
-34.13701,18.32245
-34.136229,18.323615
-34.136229,18.323615
-34.136229,18.323615
-34.136229,18.323615
-34.13330078,18.45000076
-34.13330078,18.29999924
-34.13330078,18.29999924
-34.13330078,18.45000076
-34.12919998,18.45059967
-34.12919998,18.45059967
-34.128539,18.449178
-34.121114,18.457203
-34.120939,18.827685
-34.120939,18.827685
-34.11940002,18.45999908
-34.117813,18.823565
-34.098629,18.500999
-34.098629,18.500999
-34.098629,18.500999
-34.098629,18.500999
-34.098629,18.500999
-34.098629,18.500999
-34.098629,18.500999
-34.098143,23.37676
-34.083333,23.066667
-34.082306,22.994561
-34.081564,18.582488
-34.081564,18.582488
-34.058682,18.35669
-33.982154,18.359786
-33.982154,18.359786
-33.95,25.616667
-33.920415,18.378384
-33.918233,18.383735
-33.918233,18.383735
-33.918233,18.383735
-33.91031,18.38734
-33.904341,18.394123
-33.904341,18.394123
-33.904341,18.394123
