FID,latitude,longitude
0,-51.699739999999998,-57.777535999999998
1,-43.116667000000000,147.250000000000000
2,-43.109999999999999,147.270000000000010
3,-43.109999999999999,147.270000000000010
4,-43.109999999999999,147.270000000000010
5,-43.049999999999997,147.316666999999995
6,-43.049999999999997,147.316666999999995
7,-43.049999999999997,147.316666999999995
8,-43.016666999999998,147.283332999999999
9,-43.016666999999998,147.283332999999999
10,-41.066667000000002,174.849999999999994
11,-41.066667000000002,174.849999999999994
12,-41.066667000000002,174.849999999999994
13,-38.270912000000003,145.295510000000007
14,-38.270912000000003,145.295510000000007
15,-38.270912000000003,145.295510000000007
16,-38.263055999999999,144.663889000000012
17,-37.914430000000003,144.995669999999990
18,-37.872000000000000,144.906000000000006
19,-37.679443999999997,174.684444000000013
20,-37.609999999999999,149.710000000000008
21,-37.600000000000001,176.033332999999999
22,-37.561639000000000,175.946138999999988
23,-37.520000000000003,149.780000000000001
24,-37.520000000000003,149.780000000000001
25,-37.328820000000000,139.848403999999988
26,-37.100000000000001,149.916666999999990
27,-37.047499999999999,174.503888999999987
28,-37.045889000000003,174.614111000000008
29,-37.045889000000003,174.614111000000008
30,-37.045889000000003,174.614111000000008
31,-37.045000000000002,174.584305999999998
32,-37.044722000000000,174.575832999999989
33,-37.036667000000001,174.627221999999989
34,-37.011389000000001,174.580556000000001
35,-36.998806000000002,174.603611000000001
36,-36.958888999999999,175.246388999999994
37,-36.885806000000002,174.435694000000012
38,-36.883333000000000,174.933333000000005
39,-36.877499999999998,174.979166999999990
40,-36.873055999999998,174.886944000000000
41,-36.870832999999998,174.899167000000006
42,-36.870753000000001,174.893781999999987
43,-36.863332999999997,174.656666999999999
44,-36.850000000000001,174.833333000000010
45,-36.850000000000001,174.833333000000010
46,-36.849806000000001,174.845193999999992
47,-36.849806000000001,174.845193999999992
48,-36.848332999999997,175.145277999999990
49,-36.848332999999997,174.901943999999986
50,-36.848056000000000,174.861667000000011
51,-36.847510999999997,174.788279999999986
52,-36.846806000000001,174.835111000000012
53,-36.846806000000001,174.835111000000012
54,-36.845278000000000,174.825556000000006
55,-36.842778000000003,174.750555999999989
56,-36.833333000000003,174.783332999999999
57,-36.829166999999998,174.814166999999998
58,-36.828611000000002,174.898055999999997
59,-36.827221999999999,174.708610999999991
60,-36.825679999999998,174.708498999999989
61,-36.819443999999997,174.949444000000000
62,-36.809193999999998,175.026693999999992
63,-36.808805999999997,174.690499999999986
64,-36.808805999999997,174.690499999999986
65,-36.807110999999999,174.862610999999987
66,-36.806944000000001,174.850556000000012
67,-36.790889000000000,175.157194000000004
68,-36.786332999999999,174.795999999999992
69,-36.783611000000001,174.992221999999998
70,-36.781111000000003,174.991388999999998
71,-36.781111000000003,174.991388999999998
72,-36.780000000000001,175.045832999999988
73,-36.777222000000002,174.897777999999988
74,-36.775480000000002,174.896829999999994
75,-36.718305999999998,174.751000000000005
76,-36.704194000000001,174.752111000000014
77,-36.704194000000001,174.752111000000014
78,-36.704194000000001,174.752111000000014
79,-36.700000000000003,175.616667000000007
80,-36.698000000000000,174.757499999999993
81,-36.698000000000000,174.757499999999993
82,-36.698000000000000,174.757499999999993
83,-36.680556000000003,174.748611000000011
84,-36.616999999999997,174.818693999999994
85,-36.616999999999997,174.818693999999994
86,-36.601388999999998,174.805111000000011
87,-36.601388999999998,174.805111000000011
88,-36.583333000000003,175.533332999999999
89,-36.458111000000002,174.764693999999992
90,-36.458111000000002,174.764693999999992
91,-36.458111000000002,174.764693999999992
92,-36.402805999999998,174.375305999999995
93,-36.402805999999998,174.375305999999995
94,-36.316667000000002,175.483332999999988
95,-36.271943999999998,175.504166999999995
96,-36.266666999999998,175.433333000000005
97,-36.259721999999996,174.251666999999998
98,-36.117027999999998,175.374806000000007
99,-35.786794000000000,137.775006999999988
100,-35.786794000000000,137.775006999999988
101,-35.266666999999998,174.133332999999993
102,-35.266666999999998,174.133332999999993
103,-35.262650000000001,174.181800000000010
