codium_fragile,latitude,longitude
codium_fragile,-34.12919998,18.45059967
codium_fragile,-34.12919998,18.45059967
codium_fragile,-34.128539,18.449178
codium_fragile,-34.121114,18.457203
codium_fragile,-34.120939,18.827685
codium_fragile,-34.120939,18.827685
codium_fragile,-34.11940002,18.45999908
codium_fragile,-34.117813,18.823565
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098629,18.500999
codium_fragile,-34.098143,23.37676
codium_fragile,-34.083333,23.066667
codium_fragile,-34.082306,22.994561
codium_fragile,-34.081564,18.582488
codium_fragile,-34.081564,18.582488
codium_fragile,-34.058682,18.35669
codium_fragile,-33.982154,18.359786
codium_fragile,-33.982154,18.359786
codium_fragile,-33.95,25.616667
codium_fragile,-33.920415,18.378384
codium_fragile,-33.918233,18.383735
codium_fragile,-33.918233,18.383735
codium_fragile,-33.918233,18.383735
codium_fragile,-33.91031,18.38734
codium_fragile,-33.904341,18.394123
codium_fragile,-33.904341,18.394123
codium_fragile,-33.904341,18.394123
codium_fragile,-33.904341,18.394123
codium_fragile,-33.9,18.4
codium_fragile,-33.899273,18.401688
codium_fragile,-33.859,151.222
codium_fragile,-33.73059845,18.43610001
codium_fragile,-33.724076,18.441397
codium_fragile,-33.724076,18.441397
codium_fragile,-33.724076,18.441397
codium_fragile,-33.724076,18.441397
codium_fragile,-33.60389,115.10417
codium_fragile,-33.36330032,18.14999962
codium_fragile,-33.344383,18.161571
codium_fragile,-33.34028,115.64194
codium_fragile,-33.057231,18.040427
codium_fragile,-33.050522,18.035621
codium_fragile,-33.050522,18.035621
codium_fragile,-33.041174,17.965316
codium_fragile,-33.010335,20.62064
codium_fragile,-33.005748,17.949694
codium_fragile,-33.005748,17.949694
codium_fragile,-32.854162,17.858893
codium_fragile,-32.806985,17.887236
codium_fragile,-32.80329895,17.88330078
codium_fragile,-32.772124,18.13949
codium_fragile,-32.76390076,18.03560066
codium_fragile,-32.30667,115.71056
codium_fragile,-32.270471,115.689454
codium_fragile,-32.096682,18.300374
codium_fragile,-32.096682,18.300374
codium_fragile,-31.641667,22.666667
codium_fragile,-31.619898,29.562809
codium_fragile,-31.05052,30.230741
codium_fragile,-30.9666996,17.65559959
codium_fragile,-30.847779,17.574114
codium_fragile,-30.404468,31.026098
codium_fragile,-30.404468,31.026098
codium_fragile,-30.404468,31.026098
codium_fragile,-30.404468,31.026098
codium_fragile,-30.31669998,17.26670074
codium_fragile,-30.315308,17.271714
codium_fragile,-29.2833004,16.87829971
codium_fragile,-29.252782,16.864548
codium_fragile,-29.25,16.86669922
codium_fragile,-26.63689995,15.15330029
codium_fragile,-25.89999962,14.91670036
codium_fragile,-22.81669998,14.54220009
codium_fragile,-22.736491,14.523752
codium_fragile,-22.736491,14.523752
codium_fragile,-22.66670036,14.52499962
codium_fragile,-22.66670036,14.52499962
codium_fragile,-22.66670036,14.52499962
codium_fragile,-22.66670036,14.52499962
codium_fragile,-20.31669998,13.2166996
codium_fragile,33.427028,133.371254
codium_fragile,33.525279,-79.02982
codium_fragile,33.603997,132.860116
codium_fragile,33.603997,132.860116
codium_fragile,34.17489,-77.83607
codium_fragile,34.182483,-77.813933
codium_fragile,34.182483,-77.813933
codium_fragile,34.182483,-77.813933
codium_fragile,34.207475,-77.790105
codium_fragile,34.207475,-77.790105
codium_fragile,34.20835,-77.796917
codium_fragile,34.212053,-77.792251
codium_fragile,34.21365,-77.78722
codium_fragile,34.3513,-77.65411
codium_fragile,34.35151,-77.65446
codium_fragile,34.35159,-77.6539
codium_fragile,34.355675,-77.633378
codium_fragile,34.372083,-77.625961
codium_fragile,34.372083,-77.625961
codium_fragile,34.528998,-77.33935
codium_fragile,34.695,-76.675
codium_fragile,34.695,-76.675
codium_fragile,34.695,-76.675
codium_fragile,34.69685,-76.67573
codium_fragile,34.702748,-76.667422
codium_fragile,34.702748,-76.667422
codium_fragile,34.705,-76.678333
codium_fragile,34.70845,-76.5211
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.714884,-76.684931
codium_fragile,34.715166,-76.684931
codium_fragile,34.721967,-76.753893
codium_fragile,34.778192,-79.809961
codium_fragile,34.778192,-79.809961
codium_fragile,36.47,-6.248
codium_fragile,36.48906,-4.71159
codium_fragile,36.74806,-4.05539
codium_fragile,36.74944,-4.06291
codium_fragile,36.99229,-4.7228
codium_fragile,37.175,-7.372
codium_fragile,37.804061,-122.256989
codium_fragile,37.983333,-75.425
codium_fragile,37.98561,-75.42698
codium_fragile,38.454903,-27.946472
codium_fragile,38.75,0.23
codium_fragile,38.75,0.23
codium_fragile,38.785122,-75.119233
codium_fragile,39.809844,-74.182578
codium_fragile,39.810004,-74.19044
codium_fragile,39.810965,-74.202662
codium_fragile,39.834254,-74.089271
codium_fragile,39.834254,-74.089271
codium_fragile,40.03056,-124.07194
codium_fragile,40.130001,0.16
codium_fragile,40.361499,-73.974026
codium_fragile,40.361499,-73.974026
codium_fragile,40.48407,17.27076
codium_fragile,40.900194,-72.524719
codium_fragile,40.900194,-72.524719
codium_fragile,40.937615,-72.571009
codium_fragile,40.940781,-73.423294
codium_fragile,40.940781,-73.423294
codium_fragile,40.945246,-72.499194
codium_fragile,40.945246,-72.499194
codium_fragile,40.945246,-72.499194
codium_fragile,40.945246,-72.499194
codium_fragile,41.067516,-71.873253
codium_fragile,41.067516,-71.873253
codium_fragile,41.067516,-71.873253
codium_fragile,41.067516,-71.873253
codium_fragile,41.071205,-71.856601
codium_fragile,41.071205,-71.856601
codium_fragile,41.082985,-72.296975
codium_fragile,41.082985,-72.296975
codium_fragile,41.082985,-72.296975
codium_fragile,41.082985,-72.296975
codium_fragile,41.082985,-72.296975
codium_fragile,41.082985,-72.296975
codium_fragile,41.110241,-72.359557
codium_fragile,41.110241,-72.359557
codium_fragile,41.11111,-72.19194
codium_fragile,41.1122818,-72.35810852
codium_fragile,41.130444,-72.336306
codium_fragile,41.130444,-72.336306
codium_fragile,41.130444,-72.336306
codium_fragile,41.130444,-72.336306
codium_fragile,41.148554,-72.283159
codium_fragile,41.2025,-73.07138
codium_fragile,41.275402,-70.216685
codium_fragile,41.277635,-72.315733
codium_fragile,41.277635,-72.315733
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.295524,-72.208473
codium_fragile,41.298009,-72.246312
codium_fragile,41.299017,-72.243544
codium_fragile,41.299017,-72.243544
codium_fragile,41.305195,-72.165059
codium_fragile,41.305195,-72.165059
codium_fragile,41.305195,-72.165059
codium_fragile,41.305195,-72.165059
codium_fragile,41.306038,-72.146134
codium_fragile,41.306165,-72.145698
codium_fragile,41.306165,-72.145698
codium_fragile,41.306262,-72.145827
codium_fragile,41.308818,-72.148403
codium_fragile,41.308818,-72.148403
codium_fragile,41.308866,-72.148414
codium_fragile,41.308866,-72.148414
codium_fragile,41.310098,-72.145355
codium_fragile,41.310098,-72.145355
codium_fragile,41.31361,-71.85027
codium_fragile,41.31361,-71.85027
codium_fragile,41.3145,-72.0631
codium_fragile,41.327531,-71.921139
codium_fragile,41.327531,-71.921139
codium_fragile,41.329978,-71.790315
codium_fragile,41.329978,-71.790315
codium_fragile,41.329978,-71.790315
codium_fragile,41.329978,-71.790315
codium_fragile,41.329978,-71.790315
codium_fragile,41.329978,-71.790315
codium_fragile,41.33746,-71.723387
codium_fragile,41.33746,-71.723387
codium_fragile,41.33746,-71.723387
codium_fragile,41.33746,-71.723387
codium_fragile,41.34667969,-71.96795654
codium_fragile,41.34711,-71.905803
codium_fragile,41.34711,-71.905803
codium_fragile,41.34711,-71.905803
codium_fragile,41.34711,-71.905803
codium_fragile,41.350593,-70.838127
codium_fragile,41.350593,-70.838127
codium_fragile,41.350593,-70.838127
codium_fragile,41.350593,-70.838127
codium_fragile,41.35289,-70.77864
codium_fragile,41.371165,-71.513953
codium_fragile,41.371165,-71.513953
codium_fragile,41.371165,-71.513953
codium_fragile,41.371165,-71.513953
