TNS No.,Type status,Genus,Species epithet,Collector,Collection Date (Year),Collecting Date (Month),Collecting Date (Day),Country,Prefecture,Island,City/Town,Ward Name,Identifier
166550,,Heterosiphonia,japonica,M. Chihara,1980,4,17,Japan,Shizuoka,,,,
166551,,Heterosiphonia,japonica,M. Chihara,1980,4,17,Japan,Shizuoka,,,,
166552,,Heterosiphonia,japonica,M. Chihara,1980,4,17,Japan,Shizuoka,,,,
166553,,Heterosiphonia,japonica,M. Chihara,1980,4,17,Japan,Shizuoka,,,,
166554,,Heterosiphonia,japonica,M. Chihara,1980,4,17,Japan,Shizuoka,,,,
166555,,Heterosiphonia,japonica,M. Chihara,1980,4,19,Japan,Shizuoka,,Shimoda,,
176742,,Heterosiphonia,japonica,K. Matsue,1980,**,**,Japan,Shizuoka,,Minamiizu,,K. Matsue
166556,,Heterosiphonia,japonica,M. Chihara,1981,2,4,Japan,Kanagawa,,Kamakura,,
166557,,Heterosiphonia,japonica,M. Chihara,1981,2,4,Japan,Kanagawa,,Kamakura,,
162589,,Heterosiphonia,japonica,S. Mitani,1982,12,7,Japan,Kagawa,,Takamatsu,,T. Kitayama
173908,,Heterosiphonia,japonica,K. Matsue,1983,4,2,Japan,Shizuoka,,Shimoda,,K. Matsue
173909,,Heterosiphonia,japonica,K. Matsue,1983,4,2,Japan,Shizuoka,,Shimoda,,K. Matsue
173913,,Heterosiphonia,japonica,K. Matsue,1983,4,2,Japan,Shizuoka,,Shimoda,,K. Matsue
173925,,Heterosiphonia,japonica,K. Matsue,1983,4,2,Japan,Shizuoka,,Shimoda,,K. Matsue
173987,,Heterosiphonia,japonica,K. Matsue,1983,4,2,Japan,Shizuoka,,Shimoda,,K. Matsue
173910,,Heterosiphonia,japonica,K. Matsue,1983,4,4,Japan,Shizuoka,,Shimoda,,
173893,,Heterosiphonia,japonica,K. Matsue,1983,4,5,Japan,Shizuoka,,Shimoda,,
173894,,Heterosiphonia,japonica,K. Matsue,1983,4,5,Japan,Shizuoka,,Shimoda,,
154261,,Heterosiphonia,japonica,M. Tsumura,1984,3,18,Japan,Mie,Shinju-jima,Toba,,M. Tsumura
176735,,Heterosiphonia,japonica,K. Matsue,1984,**,**,Japan,Shizuoka,,Shimoda,,K. Matsue
170717,,Heterosiphonia,japonica,K. Ikehara,1987,4,27,Japan,Niigata,,Niigata,,T. Yoshida
150009,,Heterosiphonia,japonica,H. Tanaka,1987,4,29,Japan,Hiroshima,,Hiroshima,,H. Tanaka
44401,,Heterosiphonia,japonica,T. Kitayama,1988,1,20,Japan,Aomori,,Ohma,,T. Kitayama
155604,,Heterosiphonia,japonica,T. Kitayama,1988,4,16,Japan,Ehime,,,,T. Kitayama
162615,,Heterosiphonia,japonica,S. Mitani,1991,3,7,Japan,Kagawa,,Takamatsu,,T. Kitayama
162616,,Heterosiphonia,japonica,S. Mitani,1991,3,7,Japan,Kagawa,,Takamatsu,,T. Kitayama
162617,,Heterosiphonia,japonica,S. Mitani,1991,3,7,Japan,Kagawa,,Takamatsu,,T. Kitayama
162635,,Heterosiphonia,japonica,S. Mitani,1991,3,13,Japan,Kagawa,,Takamatsu,,T. Kitayama
162657,,Heterosiphonia,japonica,S. Mitani,1991,3,17,Japan,Kagawa,,Takamatsu,,T. Kitayama
162661,,Heterosiphonia,japonica,S. Mitani,1991,3,17,Japan,Kagawa,,Takamatsu,,T. Kitayama
162719,,Heterosiphonia,japonica,S. Mitani,1991,3,24,Japan,Kagawa,,Shido,,T. Kitayama
162733,,Heterosiphonia,japonica,S. Mitani,1991,3,25,Japan,Kagawa,,Takamatsu,,T. Kitayama
162734,,Heterosiphonia,japonica,S. Mitani,1991,3,25,Japan,Kagawa,,Takamatsu,,T. Kitayama
162754,,Heterosiphonia,japonica,S. Mitani,1991,3,31,Japan,Kagawa,,Uchinomi,,T. Kitayama
162764,,Heterosiphonia,japonica,S. Mitani,1991,4,28,Japan,Kagawa,,Takamatsu,,T. Kitayama
48617,,Heterosiphonia,japonica,S. Enomoto,1994,6,3,Japan,Yamaguchi,Hando-jima,,,T. Yoshida
175123,,Heterosiphonia,japonica,S. Yada,1994,**,**,Japan,Niigata,Sado,Sado,,M. Yoshizaki
163055,,Heterosiphonia,japonica,S. Mitani,1995,4,10,Japan,Kagawa,,,,T. Kitayama
176285,,Heterosiphonia,japonica,M. Yoshizaki,1995,**,**,Japan,Iwate,,Yamada,,M. Yoshizaki
172721,,Heterosiphonia,japonica,Y. Yamaoka,1996,4,4,Japan,Chiba,,Kominato,,T. Kitayama
172722,,Heterosiphonia,japonica,Y. Yamaoka,1996,4,4,Japan,Chiba,,Kominato,,T. Kitayama
49459,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
49470,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
49471,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
49472,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
49473,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,,Fukue,,T. Kitayama
153062,,Heterosiphonia,japonica,T. Kitayama,1998,3,13,Japan,Nagasaki,Fukue,Fukue,,T. Kitayama
46444,,Heterosiphonia,japonica,H. Tanaka,1999,4,16,Japan,Hiroshima,,Osakikamishima,,H. Tanaka
151341,,Heterosiphonia,japonica,H. Tanaka,2000,6,2,Japan,Hiroshima,,Hiroshima,,H. Tanaka
154597,,Heterosiphonia,japonica,M. Nakaniwa,2000,6,4,Japan,Ibaraki,,Takahagi,,M. Nakaniwa
163803,,Heterosiphonia,japonica,M. Nakaniwa,2000,6,4,Japan,Ibaraki,,Takahagi,,M. Nakaniwa
172683,,Heterosiphonia,japonica,T. Yokosawa,2001,2,21,Japan,Miyagi,,Onagawa,,M. Suzuki
172684,,Heterosiphonia,japonica,T. Yokosawa,2001,2,21,Japan,Miyagi,,Onagawa,,M. Suzuki
182583,,Heterosiphonia,japonica,M. Suzuki,2001,2,22,Japan,Kanagawa,,Zushi,,M. Suzuki
182584,,Heterosiphonia,japonica,M. Suzuki,2001,2,22,Japan,Kanagawa,,Zushi,,M. Suzuki
182585,,Heterosiphonia,japonica,M. Suzuki,2001,2,22,Japan,Kanagawa,,Zushi,,M. Suzuki
182586,,Heterosiphonia,japonica,M. Suzuki,2001,2,22,Japan,Kanagawa,,Zushi,,M. Suzuki
182587,,Heterosiphonia,japonica,M. Suzuki,2001,2,22,Japan,Kanagawa,,Zushi,,M. Suzuki
166825,,Heterosiphonia,japonica,M. Suzuki,2001,2,23,Japan,Kanagawa,,Kamakura,,M. Suzuki
182577,,Heterosiphonia,japonica,M. Suzuki,2001,2,23,Japan,Kanagawa,,Kamakura,,M. Suzuki
182589,,Heterosiphonia,japonica,M. Suzuki,2001,2,23,Japan,Kanagawa,,Kamakura,,M. Suzuki
182588,,Heterosiphonia,japonica,M. Suzuki,2001,2,24,Japan,Kanagawa,,Kamakura,,M. Suzuki
154621,,Heterosiphonia,japonica,M. Nakaniwa,2001,5,10,Japan,Ibaraki,,Takahagi,,M. Nakaniwa
173393,,Heterosiphonia,japonica,M. Nakaniwa,2001,5,10,Japan,Ibaraki,,Takahagi,,M. Nakaniwa
182809,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182810,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182811,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182812,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182813,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182814,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
182815,,Heterosiphonia,japonica,M. Suzuki,2001,6,22,Japan,Iwate,,Yamada,,M. Suzuki
179810,,Heterosiphonia,japonica,M. Suzuki,2001,**,**,Japan,Iwate,,Yamada,,M. Suzuki
179811,,Heterosiphonia,japonica,M. Suzuki,2001,**,**,Japan,Iwate,,Yamada,,M. Suzuki
179812,,Heterosiphonia,japonica,M. Suzuki,2001,**,**,Japan,Iwate,,Yamada,,M. Suzuki
179813,,Heterosiphonia,japonica,M. Suzuki,2001,**,**,Japan,Iwate,,Yamada,,M. Suzuki
169776,,Heterosiphonia,japonica,T. Kitayama,2002,2,16,Japan,Kanagawa,,Hayama,,T. Kitayama
151342,,Heterosiphonia,japonica,H. Tanaka,2002,3,17,Japan,Hiroshima,,Hiroshima,,H. Tanaka
151343,,Heterosiphonia,japonica,H. Tanaka,2002,4,13,Japan,Hiroshima,,Hiroshima,,H. Tanaka
158834,,Heterosiphonia,japonica,T. Kitayama,2002,5,27,Japan,Ibaraki,,Hitachi,,T. Kitayama
182807,,Heterosiphonia,japonica,M. Suzuki,2002,6,22,Japan,Iwate,,Yamada,,M. Suzuki
181873,,Heterosiphonia,japonica,M. Nakaniwa,2002,6,24,Japan,Ibaraki,,Takahagi,,M. Nakaniwa
182808,,Heterosiphonia,japonica,M. Suzuki,2002,6,25,Japan,Iwate,,Yamada,,M. Suzuki
166823,,Heterosiphonia,japonica,M. Suzuki,2002,7,28,Japan,Niigata,,Ryotsu,,M. Suzuki
179822,,Heterosiphonia,japonica,M. Suzuki,2002,**,**,Japan,Hokkaido,,Muroran,,M. Suzuki
166824,,Heterosiphonia,japonica,M. Suzuki,2003,3,6,Japan,Niigata,Sado,Aikawa,,M. Suzuki
182582,,Heterosiphonia,japonica,M. Suzuki,2003,3,6,Japan,Niigata,Sado,Aikawa,,M. Suzuki
182581,,Heterosiphonia,japonica,M. Suzuki,2003,7,23,Japan,Niigata,Sado,Ryotsu,,M. Suzuki
163786,,Heterosiphonia,japonica,M. Nakaniwa,2003,7,29,Japan,Ibaraki,,Hitachi,,M. Nakaniwa
181875,,Heterosiphonia,japonica,M. Nakaniwa,2003,7,29,Japan,Ibaraki,,Hitachi,,M. Nakaniwa
182578,,Heterosiphonia,japonica,M. Suzuki,2005,2,24,Japan,Kanagawa,,Kamakura,,M. Suzuki
182579,,Heterosiphonia,japonica,M. Suzuki,2005,2,24,Japan,Kanagawa,,Kamakura,,M. Suzuki
164174,,Heterosiphonia,japonica,T. Yokosawa,2005,3,14,Japan,Kanagawa,,Kamakura,,T. Yokosawa
166826,,Heterosiphonia,japonica,M. Suzuki,2007,4,30,Japan,Iwate,,Yamada,,M. Suzuki
182580,,Heterosiphonia,japonica,M. Suzuki,2007,4,30,Japan,Iwate,,Yamada,,M. Suzuki
178905,,Heterosiphonia,japonica,M. Kimura,2007,**,**,Japan,Kanagawa,,Kamakura,,T. Kitayama
178981,,Heterosiphonia,japonica,M. Tanaka,2007,**,**,Japan,Kanagawa,,Kamakura,,T. Kitayama
178982,,Heterosiphonia,japonica,J. Sugiyama,2007,**,**,Japan,Kanagawa,,Kamakura,,T. Kitayama
179022,,Heterosiphonia,japonica,M. Tanaka,2008,**,**,Japan,Kanagawa,,Kamakura,,T. Kitayama
179539,,Heterosiphonia,japonica,J. Sugiyama,2010,**,**,Japan,Kanagawa,,Kamakura,,T. Kitayama
181468,,Heterosiphonia,japonica,T. Kitayama,2013,4,26,Japan,Chiba,,Isumi,,T. Kitayama
