X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-158.117,21.3167,train,2.4795765930529985E-6,0.2294442337553945,0.00717298616449491
-158.117,21.3167,train,2.4795765930529985E-6,0.2294442337553945,0.00717298616449491
-134.25,55.88,train,2.0287593722644702E-4,20.940237363402346,0.44511809496247934
-133.482559,55.798315,train,3.8869272064733537E-4,52.32128697397525,0.6764730693318936
-133.482559,55.798315,train,3.8869272064733537E-4,52.32128697397525,0.6764730693318936
-133.482559,55.798315,train,3.8869272064733537E-4,52.32128697397525,0.6764730693318936
-133.14,55.46,train,3.717430054355563E-4,51.095081164175085,0.6601543129487377
-132.490033,55.75473,train,4.176970804090604E-4,54.72588956560255,0.7026007855447158
-131.96,53.33,train,4.452941425327787E-4,60.550771405180704,0.7254992023716356
-131.96,53.33,train,4.452941425327787E-4,60.550771405180704,0.7254992023716356
-131.96,53.33,train,4.452941425327787E-4,60.550771405180704,0.7254992023716356
-131.6,55.3,train,4.34328837812479E-4,58.34974599715797,0.7166198706432566
-130.46,54.51,train,4.4653043762123265E-4,61.114716711347775,0.7264826954799568
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-130.33,54.21,train,4.0490683094989333E-4,53.87268756066701,0.6913497650555782
-128.7,50.5,train,4.31857619832031E-4,57.523721145814385,0.7145794295877896
-128.49,52.38,train,4.041622631087923E-4,53.67653933651481,0.6906818440438148
-128.119,51.651,train,4.3806561243704483E-4,59.146607220650665,0.7196775882723156
-128.11,52.19,train,4.308213450250755E-4,56.786931860519665,0.7137194296688518
-128.08,52.21,train,4.3197049734438166E-4,57.56460514052896,0.7146729499702635
-128.08,52.18,train,4.3197049734438166E-4,57.56460514052896,0.7146729499702635
-127.94,50.1,train,4.5133451032610837E-4,62.993376850869,0.7302710794245574
-127.91,51.54,train,4.4019194416664427E-4,59.64931782323665,0.7214027656518481
-127.7,50.13,train,4.4912960614775253E-4,61.99050322029834,0.7285389004778673
-127.7,50.1,train,4.4912960614775253E-4,61.99050322029834,0.7285389004778673
-127.65,50.11,train,4.6146674569055076E-4,63.63572277954341,0.7380899762059038
-127.6,50.1,train,4.6146674569055076E-4,63.63572277954341,0.7380899762059038
-127.56,50.09,train,4.538709774097828E-4,63.12572339829646,0.7322500684606952
-127.54,50.09,train,4.538709774097828E-4,63.12572339829646,0.7322500684606952
-127.5,50.1,train,4.623558069900004E-4,63.70346130492711,0.7387651385113885
-127.43,50.0,train,4.940029248295663E-4,65.67918302364782,0.7616976377898665
-127.4,50.0,train,4.89647781709421E-4,65.45650202821503,0.7586653945729247
-127.4,50.0,train,4.89647781709421E-4,65.45650202821503,0.7586653945729247
-127.4,50.0,train,4.89647781709421E-4,65.45650202821503,0.7586653945729247
-127.4,50.0,train,4.89647781709421E-4,65.45650202821503,0.7586653945729247
-127.4,50.0,train,4.89647781709421E-4,65.45650202821503,0.7586653945729247
