species,longitude,latitude
undaria_pinnatifida,-119.691043,34.405844
undaria_pinnatifida,-119.691386,34.405844
undaria_pinnatifida,-119.691386,34.405915
undaria_pinnatifida,-119.691386,34.405915
undaria_pinnatifida,-119.691043,34.405986
undaria_pinnatifida,-119.691043,34.405986
undaria_pinnatifida,135,34.55
undaria_pinnatifida,135.025,34.585
undaria_pinnatifida,135.025,34.585
undaria_pinnatifida,-134.592,34.635
undaria_pinnatifida,134.59167,34.635
undaria_pinnatifida,134.59167,34.635
undaria_pinnatifida,134.592,34.635
undaria_pinnatifida,134.592,34.635
undaria_pinnatifida,138.925,34.65
undaria_pinnatifida,138.941667,34.666667
undaria_pinnatifida,138.941667,34.666667
undaria_pinnatifida,138.975,34.691667
undaria_pinnatifida,133.810181,34.902039
undaria_pinnatifida,134.825968,35.040316
undaria_pinnatifida,140.164377,35.123131
undaria_pinnatifida,140.087149,35.253332
undaria_pinnatifida,140.087149,35.253332
undaria_pinnatifida,139.57855,35.25349
undaria_pinnatifida,139.577394,35.255716
undaria_pinnatifida,139.577394,35.255716
undaria_pinnatifida,139.480822,35.299771
undaria_pinnatifida,139.480822,35.299771
undaria_pinnatifida,139.480822,35.299771
undaria_pinnatifida,139.480822,35.299771
undaria_pinnatifida,139.481003,35.299996
undaria_pinnatifida,135.340026,35.470092
undaria_pinnatifida,140.416667,35.6
undaria_pinnatifida,140.433333,35.683333
undaria_pinnatifida,139.751389,35.685
undaria_pinnatifida,138,36
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.35,36.05
undaria_pinnatifida,120.446302,36.070861
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,120.49,36.09
undaria_pinnatifida,133.277513,36.177537
undaria_pinnatifida,133.277513,36.177537
undaria_pinnatifida,140.56897,36.30923
undaria_pinnatifida,140.57602,36.31736
undaria_pinnatifida,140.57602,36.31736
undaria_pinnatifida,140.57602,36.31736
undaria_pinnatifida,140.57602,36.31736
undaria_pinnatifida,140.6068,36.34809
undaria_pinnatifida,140.6068,36.34809
undaria_pinnatifida,140.6068,36.34809
undaria_pinnatifida,140.6068,36.34809
undaria_pinnatifida,140.6068,36.34809
undaria_pinnatifida,140.61249,36.36073
undaria_pinnatifida,140.61249,36.36073
undaria_pinnatifida,140.60785,36.36255
undaria_pinnatifida,140.61809,36.37724
undaria_pinnatifida,140.61809,36.37724
undaria_pinnatifida,140.57585,36.37886
undaria_pinnatifida,140.57585,36.37886
undaria_pinnatifida,140.57585,36.37886
undaria_pinnatifida,140.57585,36.37886
undaria_pinnatifida,140.57585,36.37886
undaria_pinnatifida,140.61494,36.48877
undaria_pinnatifida,140.62201,36.51031
undaria_pinnatifida,140.62201,36.51031
undaria_pinnatifida,140.63136,36.51917
undaria_pinnatifida,140.63136,36.51917
undaria_pinnatifida,140.64268,36.54555
undaria_pinnatifida,140.64325,36.54952
undaria_pinnatifida,140.64325,36.54952
undaria_pinnatifida,140.65424,36.57593
undaria_pinnatifida,140.65135,36.5794
undaria_pinnatifida,140.65135,36.5794
undaria_pinnatifida,140.65135,36.5794
undaria_pinnatifida,140.65047,36.59843
undaria_pinnatifida,140.68124,36.63238
undaria_pinnatifida,140.6786,36.64684
undaria_pinnatifida,140.6786,36.64684
undaria_pinnatifida,140.67635,36.64731
undaria_pinnatifida,140.69221,36.65774
undaria_pinnatifida,140.69221,36.65774
undaria_pinnatifida,140.69221,36.65774
undaria_pinnatifida,140.70522,36.67881
undaria_pinnatifida,140.72125,36.72369
undaria_pinnatifida,140.75508,36.80006
undaria_pinnatifida,140.75508,36.80006
undaria_pinnatifida,140.75508,36.80006
undaria_pinnatifida,140.73969,36.80775
undaria_pinnatifida,140.73969,36.80775
undaria_pinnatifida,140.73969,36.80775
undaria_pinnatifida,140.73969,36.80775
undaria_pinnatifida,140.79265,36.84892
undaria_pinnatifida,140.79205,36.8541
undaria_pinnatifida,140.79205,36.8541
undaria_pinnatifida,122.14,37.51
undaria_pinnatifida,122.14,37.51
undaria_pinnatifida,122.14,37.51
undaria_pinnatifida,128.9901,37.7347
undaria_pinnatifida,-138.567,38.05
undaria_pinnatifida,138.566667,38.05
undaria_pinnatifida,138.566667,38.05
undaria_pinnatifida,138.566667,38.05
undaria_pinnatifida,138.57,38.05
undaria_pinnatifida,138.567,38.05
