longitude,latitude
-158.117,21.3167
-158.117,21.3167
-158.117,21.3167
-134.588,34.64
-134.588,34.64
-134.25,55.88
-133.57,33.3483
-133.482559,55.798315
-133.482559,55.798315
-133.482559,55.798315
-133.482559,55.798315
-133.48,55.8
-133.14,55.46
-132.490033,55.75473
-132.490033,55.75473
-131.96,53.33
-131.96,53.33
-131.96,53.33
-131.6,55.3
-130.46,54.51
-130.46,54.51
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-130.33,54.21
-129.2,49
-128.7,52.31
-128.7,50.5
-128.68,52.28
-128.49,52.38
-128.119,51.651
-128.118667,51.651333
-128.11,52.19
-128.08,52.21
-128.08,52.18
-127.94,50.1
-127.91,51.54
-127.73,50.12
-127.7,50.13
-127.7,50.1
-127.65,50.11
-127.6,50.1
-127.56,50.09
-127.54,50.09
-127.54,50.09
-127.5,50.2
-127.5,50.2
-127.5,50.2
-127.5,50.2
-127.5,50.2
-127.5,50.1
-127.5,50.1
-127.43,50
-127.4,50
-127.4,50
-127.4,50
-127.4,50
-127.4,50
-127.4,50
-127.4,50
-127.4,50
-127.26,49.92
-127.25,49.98
-127.23,50
-127,50
-126.99,49.82
-126.7,49.9
-126.7,49.9
-126.7,49.6
-126.62,49.59
-126.56,49.58
-126.49,49.75
-126.49,49.65
-126.3,49.4
-126.2,50.6
-126,50.6
-126,50.6
-125.833333,49.666667
-125.787222,49.061111
-125.6,48.9
-125.6,48.9
-125.6,48.9
-125.6,48.9
-125.6,48.9
-125.6,48.9
-125.543704,48.933953
-125.543704,48.933953
-125.541043,48.942918
-125.541043,48.942918
-125.4,48.9
-125.37,48.89
-125.31,50.09
-125.3,50
-125.24,48.87
-125.23,48.92
-125.2,48.9
-125.2,48.9
-125.2,48.83
-125.2,48.8
-125.2,48.8
-125.2,48.8
-125.2,48.8
-125.2,48.8
-125.2,48.8
