longitude,latitude
-117.274204,32.84727
129.969722,33.4425
132.175,33.775
139.485402,34.102057
-119.952774,34.422222
138.833333,34.633333
138.833333,34.633333
138.148127,34.648144
136.92887,34.708256
136.930586,34.711854
136.92578,34.712419
140.405649,35.250561
139.48271,35.302538
139.48271,35.302538
139.510742,35.305117
139.662422,35.458697
-121.694904,36.176091
133.240792,36.186944
-121.943011,36.521906
-121.927177,36.523573
-121.93236,36.52847
-121.934509,36.532812
-121.934509,36.532812
-121.92909,36.534902
-121.939144,36.540122
-121.94743,36.542778
-121.929749,36.546199
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930002,36.547932
-121.930409,36.550377
-121.930635,36.552969
-121.94155,36.56494
-121.913902,36.591418
-121.952237,36.608616
-121.891339,36.608982
-121.89194,36.60912
-121.94722,36.61
-121.948976,36.610373
-121.879372,36.618904
-121.879372,36.618904
-121.90436,36.621568
-121.94043,36.624137
141.4,41.133333
141.4,41.133333
-72.760375,41.242041
-72.145698,41.306165
-72.171806,41.308472
-71.8630556,41.3105556
-71.863111,41.310611
-72.090694,41.311583
-72.195467,41.321339
-71.803806,41.322667
-71.335607,41.478158
-70.67361,41.52639
-70.635361,41.537861
-70.62503,41.737518
-70.62503,41.737518
-70.626495,41.73891
-70.503214,41.771395
-70.503296,41.773457
-70.503296,41.773457
-70.557809,41.930938
-70.628425,41.946421
-70.650037,42.085658
-70.641148,42.086214
-70.641148,42.091769
130.94722,42.563855
-70.632822,42.673706
-70.632822,42.673706
-70.756486,42.685459
-70.817552,42.843147
-68.954085,42.912627
-70.613498,42.975754
-70.613498,42.975754
-70.611429,42.978385
-70.759535,42.985257
-70.748246,43.000668
-70.748385,43.001479
-70.731974,43.016709
-70.712013,43.042712
-70.719988,43.052011
-70.719988,43.052011
-70.899265,43.052421
-70.712429,43.058681
-70.712429,43.058681
-70.691924,43.06629
-70.835929,43.067792
-70.69209,43.068682
-70.862751,43.069077
-70.883218,43.069791
-70.876355,43.070931
-70.872321,43.070931
-70.877643,43.071558
