species,longitude,latitude
Caulerpa_taxifolia,153.40912,-27.506871
Caulerpa_taxifolia,153.40912,-27.50687
Caulerpa_taxifolia,153.4,-27.5
Caulerpa_taxifolia,32.698611,-27.5
Caulerpa_taxifolia,153.50078,-27.49854
Caulerpa_taxifolia,153.500785,-27.498537
Caulerpa_taxifolia,153.3972,-27.4944
Caulerpa_taxifolia,32.713889,-27.453333
Caulerpa_taxifolia,153.10912,-27.44021
Caulerpa_taxifolia,153.109124,-27.440206
Caulerpa_taxifolia,153.542451,-27.440204
Caulerpa_taxifolia,153.54245,-27.4402
Caulerpa_taxifolia,153.584117,-27.415204
Caulerpa_taxifolia,153.58412,-27.4152
Caulerpa_taxifolia,153.317176,-27.411594
Caulerpa_taxifolia,153.31718,-27.41159
Caulerpa_taxifolia,153.4199982,-27.36300087
Caulerpa_taxifolia,153.425785,-27.356871
Caulerpa_taxifolia,153.42579,-27.35687
Caulerpa_taxifolia,32.722222,-27.3375
Caulerpa_taxifolia,153.1153,-27.2264
Caulerpa_taxifolia,153.3667,-27.1667
Caulerpa_taxifolia,-109.383,-27.1333
Caulerpa_taxifolia,153.116899,-27.094373
Caulerpa_taxifolia,153.1169,-27.09437
Caulerpa_taxifolia,153.14245,-27.09021
Caulerpa_taxifolia,153.142455,-27.090206
Caulerpa_taxifolia,153.14229,-26.809904
Caulerpa_taxifolia,153.133333,-26.808333
Caulerpa_taxifolia,153.159119,-26.806873
Caulerpa_taxifolia,153.142453,-26.806873
Caulerpa_taxifolia,153.14245,-26.80687
Caulerpa_taxifolia,153.15912,-26.80687
Caulerpa_taxifolia,153.1528,-26.8028
Caulerpa_taxifolia,153.14999,-26.8
Caulerpa_taxifolia,153.149994,-26.799999
Caulerpa_taxifolia,153.092452,-26.556874
Caulerpa_taxifolia,153.09245,-26.55687
Caulerpa_taxifolia,153.09662,-26.53521
Caulerpa_taxifolia,153.096619,-26.535207
Caulerpa_taxifolia,153.092452,-26.523541
Caulerpa_taxifolia,153.09245,-26.52354
Caulerpa_taxifolia,153.1167,-26.4167
Caulerpa_taxifolia,153.10912,-26.39021
Caulerpa_taxifolia,153.109118,-26.390208
Caulerpa_taxifolia,153.103876,-26.370231
Caulerpa_taxifolia,153.025783,-25.823543
Caulerpa_taxifolia,153.02578,-25.82354
Caulerpa_taxifolia,153.05,-25.816667
Caulerpa_taxifolia,153.084115,-25.748543
Caulerpa_taxifolia,153.08411,-25.74854
Caulerpa_taxifolia,153.05,-25.6167
Caulerpa_taxifolia,152.625785,-25.190213
Caulerpa_taxifolia,152.62579,-25.19021
Caulerpa_taxifolia,152.715,-24.485
Caulerpa_taxifolia,152.535,-24.335
Caulerpa_taxifolia,152.665,-24.265
Caulerpa_taxifolia,152.005,-24.225
Caulerpa_taxifolia,152.815,-24.215
Caulerpa_taxifolia,152.585,-24.075
Caulerpa_taxifolia,151.975,-24.075
Caulerpa_taxifolia,152.415,-24.055
Caulerpa_taxifolia,151.865,-24.035
Caulerpa_taxifolia,151.3758,-23.95689
Caulerpa_taxifolia,151.375797,-23.956888
Caulerpa_taxifolia,151.3,-23.85
Caulerpa_taxifolia,151.9165,-23.45338
Caulerpa_taxifolia,151.9156,-23.45292
Caulerpa_taxifolia,151.917244,-23.451962
Caulerpa_taxifolia,151.916411,-23.451407
Caulerpa_taxifolia,151.685,-23.255
Caulerpa_taxifolia,151.005,-23.245
Caulerpa_taxifolia,-135.07366,-23.22082
Caulerpa_taxifolia,-134.9807,-23.20983
Caulerpa_taxifolia,-134.88779,-23.19878
Caulerpa_taxifolia,151.005,-23.155
Caulerpa_taxifolia,-135.0855,-23.13489
Caulerpa_taxifolia,113.766667,-23.133333
Caulerpa_taxifolia,151.595,-23.095
Caulerpa_taxifolia,166.99876,-22.91046
Caulerpa_taxifolia,166.8899994,-22.82999992
Caulerpa_taxifolia,166.8500061,-22.81999969
Caulerpa_taxifolia,113.7696,-22.79436
Caulerpa_taxifolia,166.9299927,-22.78000069
Caulerpa_taxifolia,113.697503,-22.775202
Caulerpa_taxifolia,166.8399963,-22.77000046
Caulerpa_taxifolia,113.6987,-22.7418
Caulerpa_taxifolia,113.699725,-22.74048
Caulerpa_taxifolia,166.7799988,-22.72999954
Caulerpa_taxifolia,167.48267,-22.72308
Caulerpa_taxifolia,166.8800049,-22.71999931
Caulerpa_taxifolia,167.5200043,-22.71999931
Caulerpa_taxifolia,166.75,-22.70999908
Caulerpa_taxifolia,166.8399963,-22.70999908
Caulerpa_taxifolia,113.631114,-22.698813
Caulerpa_taxifolia,166.8099976,-22.69000053
Caulerpa_taxifolia,166.8500061,-22.69000053
Caulerpa_taxifolia,166.6399994,-22.68000031
Caulerpa_taxifolia,166.7899933,-22.65999985
Caulerpa_taxifolia,166.6999969,-22.65999985
Caulerpa_taxifolia,166.6199951,-22.64999962
Caulerpa_taxifolia,166.6499939,-22.64999962
Caulerpa_taxifolia,167.28657,-22.63572
Caulerpa_taxifolia,166.6399994,-22.62999916
Caulerpa_taxifolia,113.64278,-22.618812
Caulerpa_taxifolia,113.636669,-22.606312
Caulerpa_taxifolia,166.6999969,-22.60000038
Caulerpa_taxifolia,166.6600037,-22.59000015
Caulerpa_taxifolia,166.6399994,-22.57999992
Caulerpa_taxifolia,166.6399994,-22.56999969
Caulerpa_taxifolia,166.8200073,-22.55999947
Caulerpa_taxifolia,166.6300049,-22.55999947
Caulerpa_taxifolia,166.5200043,-22.54999924
Caulerpa_taxifolia,167.38226,-22.54404
Caulerpa_taxifolia,167.47942,-22.54257
Caulerpa_taxifolia,166.6600037,-22.53000069
Caulerpa_taxifolia,166.7700043,-22.52000046
Caulerpa_taxifolia,166.5399933,-22.52000046
Caulerpa_taxifolia,166.6399994,-22.52000046
Caulerpa_taxifolia,166.4900055,-22.52000046
