gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1933680266,848e55dc-f762-11e1-a439-00145eb45e9a,7c296b31-7d1f-453d-bc87-c042caa382a2,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1938-03-02T00:00:00Z,2,3,1938,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,172900,,,,CC_BY_4_0,,,,,2019-09-20T20:03:42.601Z,,
1933680142,848e55dc-f762-11e1-a439-00145eb45e9a,6362e6c3-9407-490f-9bdd-9576442abf0c,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Chiba,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1996-04-04T00:00:00Z,4,4,1996,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,172722,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.593Z,,
1933680097,848e55dc-f762-11e1-a439-00145eb45e9a,afe748c5-7067-4956-bd29-398041279f5d,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Miyagi,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2001-02-21T00:00:00Z,21,2,2001,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,172683,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.588Z,,
1933680085,848e55dc-f762-11e1-a439-00145eb45e9a,48c30f59-bf43-47d4-8a9c-7647b27f1bf2,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Chiba,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1996-04-04T00:00:00Z,4,4,1996,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,172721,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.571Z,,
1933680066,848e55dc-f762-11e1-a439-00145eb45e9a,501df949-015e-4e2c-8c60-5bbebf8fc8f5,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Miyagi,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2001-02-21T00:00:00Z,21,2,2001,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,172684,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.567Z,,
1933678506,848e55dc-f762-11e1-a439-00145eb45e9a,2935a62a-9ad1-4f24-b7b2-ea36a6161005,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Niigata,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1987-04-27T00:00:00Z,27,4,1987,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,170717,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.559Z,,
1933677590,848e55dc-f762-11e1-a439-00145eb45e9a,09476443-0baa-4ecb-a5c9-3ccbbe052a7f,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2002-02-16T00:00:00Z,16,2,2002,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,169776,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.555Z,,
1933677280,848e55dc-f762-11e1-a439-00145eb45e9a,48473417-e895-4672-a380-83e5ea58fd43,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Hokkaido,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1963-03-26T00:00:00Z,26,3,1963,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,169438,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.549Z,,
1933677263,848e55dc-f762-11e1-a439-00145eb45e9a,58dfd75c-7548-492b-9f45-c9ebc59da39f,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Hokkaido,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1963-05-12T00:00:00Z,12,5,1963,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,169414,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.544Z,,
1933676808,848e55dc-f762-11e1-a439-00145eb45e9a,396e4558-73a2-4e4f-a850-7c6362e69c88,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Shizuoka,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1970-03-25T00:00:00Z,25,3,1970,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168851,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.538Z,,
1933676681,848e55dc-f762-11e1-a439-00145eb45e9a,6bb89ba0-17fb-46a3-bdf3-c5dcb102dacc,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-03T00:00:00Z,3,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168729,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.533Z,,
