Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.77124E-14,0.000000001,0,0.923999625,0,0
9.17999E-14,0.000000003,0,0.906006935,0,0
5.73569E-13,0.00000001,0.000000003,0.868147315,0,0
2.78313E-12,0.000000025,0.000000014,0.858213851,0,0
1.05999E-11,0.0000001,0.000000055,0.846499859,0,0
2.07534E-11,0.000000252,0.000000107,0.83731609,0,0
7.90317E-11,0.000001006,0.000000409,0.820635367,0,0
1.7871E-10,0.000002513,0.000000925,0.809202511,0,0
7.59717E-10,0.000010024,0.00000393,0.791772093,0,0
2.07038E-9,0.00002513,0.000010711,0.780339237,0,0
4.06977E-9,0.000050312,0.000021054,0.772467435,0,0
7.95105E-9,0.000100659,0.000041132,0.764314497,0,0
2.24972E-8,0.000251007,0.000116379,0.753912473,0,0
3.7426E-8,0.000501797,0.000193598,0.745853247,0,0
7.22946E-8,0.001006249,0.000373933,0.737138038,0,0
1.70602E-7,0.002510237,0.000882191,0.724861775,0,0
3.00964E-7,0.005015403,0.00155577,0.715022022,0,0
4.99647E-7,0.010024647,0.002581498,0.702933183,0,0
1.21417E-6,0.025060744,0.006261602,0.685315341,0,0
2.78292E-6,0.050020268,0.014293779,0.67313279,0,0
5.33691E-6,0.100442077,0.027231903,0.660950239,0,0
1.01924E-5,0.200169585,0.051362297,0.6488614,0,0
1.35997E-5,0.301189838,0.067937559,0.640989598,0.004392387,0
1.65077E-5,0.400154273,0.081854732,0.634804611,0.005856515,0.005882353
1.86456E-5,0.500926445,0.09195364,0.629463031,0.005856515,0.005882353
1.97456E-5,0.600904655,0.097106293,0.62459001,0.005856515,0.005882353
2.08125E-5,0.700177896,0.102076101,0.619998126,0.011713031,0.017647059
2.14005E-5,0.75090949,0.104802994,0.617749039,0.011713031,0.017647059
2.18894E-5,0.800680142,0.107064388,0.615593665,0.016105417,0.017647059
2.29255E-5,0.901342629,0.111838008,0.611376628,0.016105417,0.017647059
2.41867E-5,1.000260268,0.117613735,0.607440727,0.016105417,0.017647059
2.53857E-5,1.101597305,0.123070254,0.603598538,0.016105417,0.017647059
2.62955E-5,1.202198575,0.127188108,0.599943773,0.016105417,0.017647059
2.76859E-5,1.302291597,0.133443705,0.596476431,0.016105417,0.017647059
2.86911E-5,1.401180671,0.137937949,0.593196514,0.016105417,0.017647059
2.97316E-5,1.500263749,0.142565988,0.590010308,0.016105417,0.017647059
3.15603E-5,1.751677539,0.150639434,0.58232593,0.020497804,0.017647059
3.36537E-5,2.000170866,0.159788275,0.575203823,0.020497804,0.023529412
3.55531E-5,2.252551902,0.1680041,0.568362853,0.020497804,0.023529412
3.71843E-5,2.503591658,0.174995506,0.561896729,0.020497804,0.023529412
3.85521E-5,2.750080411,0.180812433,0.555805454,0.021961933,0.023529412
4.03346E-5,3.002147893,0.188331817,0.549807891,0.021961933,0.023529412
4.17166E-5,3.252900486,0.194114222,0.544091463,0.021961933,0.023529412
4.30007E-5,3.503449598,0.199450199,0.538562459,0.023426061,0.029411765
4.46742E-5,3.753595794,0.206350811,0.533220879,0.023426061,0.029411765
4.61994E-5,4.003666429,0.212588421,0.528066723,0.023426061,0.029411765
4.75002E-5,4.252012329,0.217869702,0.523099991,0.023426061,0.029411765
4.8468E-5,4.501596674,0.221775735,0.51822697,0.026354319,0.029411765
4.97883E-5,4.752183968,0.22707288,0.513447662,0.027818448,0.029411765
5.07706E-5,5.003804493,0.23099096,0.508762065,0.029282577,0.035294118
5.16341E-5,5.254890888,0.234418431,0.504170181,0.033674963,0.035294118
5.24157E-5,5.504780476,0.237507839,0.499672008,0.039531479,0.035294118
5.30309E-5,5.752742425,0.239930763,0.495267548,0.043923865,0.035294118
5.38211E-5,6.003716561,0.24303168,0.490863087,0.045387994,0.035294118
5.48657E-5,6.259235364,0.247111052,0.486458626,0.05124451,0.035294118
5.57472E-5,6.502514599,0.250536962,0.482335301,0.055636896,0.035294118
5.69971E-5,6.750786705,0.25536714,0.478211976,0.055636896,0.041176471
5.79405E-5,7.003583964,0.258992702,0.474088651,0.057101025,0.041176471
5.89648E-5,7.260847755,0.262908841,0.469965327,0.061493411,0.047058824
6.01487E-5,7.504992948,0.267409535,0.466123137,0.061493411,0.047058824
